职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
数据 分析师 统计师,喜士多便利店C-STORE-零售业-连锁,1.5-2.5万·13薪,上海·静安区,1年,本科,民营,1000-5000人,互联网/电子商务,https://jobs.51job.com/shanghai/144044290.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coAmZVMFM1ATlVNAVh.html
餐饮行业运营-数据分析-生活服务,字节跳动,1.8-2.5万,上海,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shanghai/140322626.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
电力数据分析员电力交易员,上海尚弗能源环境科技有限公司,8千-1.5万,上海·闵行区,3-4年,大专,民营,少于50人,环保,https://jobs.51job.com/shanghai/136533148.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coAWRdOVc0U2lTMgxrVzY.html
数据分析师,深圳嘉立创科技集团股份有限公司,1.5-3万,深圳·福田区,3-4年,本科,民营,5000-10000人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/146691662.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coBGFdPVY1AjhSMlYxXDs.html
产品数据分析师,浙江正裕工业股份有限公司,1-2万·13薪,上海·静安区,3-4年,大专,已上市,1000-5000人,机械/设备/重工,https://jobs.51job.com/shanghai/147660917.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coAmJQPAJlAD0OagJjAGQ.html
商品专员 货品管理 数据分析,爱特爱服饰（深圳）有限公司,6-8千,深圳·龙华区,无需经验,大专,外资（非欧美）,1000-5000人,,https://jobs.51job.com/shenzhen/127169911.html?s=sou_sou_soulb&t=0_0&req=0403c241a061dc56d057f5add65f137f,https://jobs.51job.com/all/coAGVWMV87BTpWMgNgXD4.html
国际电商 - 数据分析师（产品分析）,字节跳动,3-6万,上海,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shanghai/142910544.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
珠宝货品结构数据分析师,深圳市拉准科技有限公司,8千-1.3万,深圳,3-4年,大专,民营,少于50人,,https://jobs.51job.com/shenzhen/148632397.html?s=sou_sou_soulb&t=0_0&req=225b859eca31f533d90129bfd827ba71,https://jobs.51job.com/all/coCGkAbFY2Bz5VNQFlXTg.html
财务数据分析专员,上海卓赢丰科技有限公司,8千-1.5万·13薪,上海·浦东新区,1年,本科,民营,少于50人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/147816157.html?s=sou_sou_soulb&t=0_0&req=225b859eca31f533d90129bfd827ba71,https://jobs.51job.com/all/coVjYBbQBrDzAFYQBmB2E.html
渠道数据分析主管,欧葩琪（上海）化妆品有限公司,1.2-1.8万·14薪,上海·徐汇区,3-4年,大专,外资（非欧美）,50-150人,,https://jobs.51job.com/shanghai/147790952.html?s=sou_sou_soulb&t=0_0&req=0403c241a061dc56d057f5add65f137f,https://jobs.51job.com/all/coUzMFaV84VWoEYFY9Bmc.html
