职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
运维工程师（香港工作）,广州市威创网络科技有限公司,2.5-4.5万,广州·番禺区,3-4年,本科,民营,50-150人,网络游戏,https://jobs.51job.com/guangzhou/148030004.html?s=sou_sou_soulb&t=0_0&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coUzdTMgVhATdWM1MwUDQ.html
大数据工程师（电商行业）,字节跳动,2.5-4万,北京,2年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/113613859.html?s=sou_sou_soulb&t=0_0&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
驻场工程师,广东星凡信息科技传媒有限公司,1-1.5万,广州·天河区,2年,大专,民营,少于50人,公关/市场推广/会展,https://jobs.51job.com/guangzhou/141991238.html?s=sou_sou_soulb&t=0_0&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coVTFTM1U0Bz9VNQRiVTk.html
技术管培生,中山华定科技有限公司,5.3千-1万,中山,无需经验,,外资（欧美）,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/guangzhou/148575054.html?s=sou_sou_soulb&t=0_1&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coAWNXMVUyAzUEYQBgBmU.html
DevOps开发工程师(J10784),北京北方华创微电子装备有限公司,1.5-2.5万,北京,5-7年,本科,国企,5000-10000人,电子技术/半导体/集成电路,https://jobs.51job.com/beijing/148320806.html?s=sou_sou_soulb&t=0_0&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coAWFdOwBgATtWNVA0Vjs.html
Java高级开发工程师,中海（广州）企业管理有限公司,1-1.5万,广州·天河区,3-4年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/guangzhou/141901716.html?s=sou_sou_soulb&t=0_0&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coAWBcO1E0AjxRMVA0Uz8.html
后端开发工程师,上海朱光亚战略科技研究院,20-40万/年,上海·浦东新区,5-7年,本科,事业单位,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/shanghai/145690342.html?s=sou_sou_soulb&t=0_0&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coVTYBZgJmVG5UMwxmBWA.html
信息安全工程师,华测检测认证集团股份有限公司,1.6-2.1万,深圳·宝安区,3-4年,本科,已上市,10000人以上,,https://jobs.51job.com/shenzhen/143191920.html?s=sou_sou_soulb&t=0_0&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coVTICZ1UyVWtVMVE7XTA.html
web工程师（包食宿）,优普道信息科技（广东）集团有限公司,0.8-1万,广州·海珠区,无需经验,大专,民营,,计算机软件,https://jobs.51job.com/dongguan/138903711.html?s=sou_sou_soulb&t=0_0&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coBGQGawJjUWpUOQNkVzA.html
外贸跟单经理,成都奥利斯机电有限公司,8千-1.2万·13薪,成都·郫都区,3-4年,本科,民营,50-150人,机械/设备/重工,https://jobs.51job.com/shanghai/148047276.html?s=sou_sou_soulb&t=0_0&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coVTBWNlA6AjhVOAxoUDQ.html
资深测试工程师,广州麦匠科技有限公司,1-1.4万,广州·天河区,3-4年,大专,民营,150-500人,贸易/进出口,https://jobs.51job.com/guangzhou/147052118.html?s=sou_sou_soulb&t=0_0&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coAmBXMFUzDjcGawxrVzs.html
网站编辑（笔记本电脑）,MSI微星科技,7-9千,北京·朝阳区,1年,大专,外资（非欧美）,150-500人,计算机软件,https://jobs.51job.com/beijing/144627789.html?s=sou_sou_soulb&t=0_0&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coCGwHZlUzAD5UMQBjUjA.html
后端开发工程师 - 直播/实时通信,字节跳动,2.5-5万,深圳,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shenzhen/104913198.html?s=sou_sou_soulb&t=0_0&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
服务器运维工程师,上海讯杰科技有限公司,1.5-2万,上海·松江区,3-4年,大专,民营,50-150人,通信/电信运营、增值服务,https://jobs.51job.com/shanghai/148560664.html?s=sou_sou_soulb&t=0_0&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coVDUHZF84AD4FaAJp.html
Web前端开发工程师,广州市壹软网络科技有限公司,4.5-6千,广州·黄埔区,1年,大专,民营,少于50人,互联网/电子商务,https://jobs.51job.com/guangzhou/87757992.html?s=sou_sou_soulb&t=0_0&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coBGAGalAzDzgFZ1czBWE.html
web工程师（包食宿）,优普道信息科技（广东）集团有限公司,0.8-1万,广州·海珠区,无需经验,大专,民营,,计算机软件,https://jobs.51job.com/foshan/138903713.html?s=sou_sou_soulb&t=0_0&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coBGQGawJjUWpUOQNkVzA.html
Python开发工程师,深圳市盛思达通讯技术有限公司,1-1.5万·13薪,深圳·南山区,3-4年,本科,民营,50-150人,计算机硬件,https://jobs.51job.com/shenzhen/147864500.html?s=sou_sou_soulb&t=0_0&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coBmVXO1M2DzJSNAZhAWI.html
服务端研发工程师-抖音平台研发,字节跳动,3-6万,深圳,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shenzhen/136602270.html?s=sou_sou_soulb&t=0_0&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
对日软件开发工程师,愚公科技（大连）有限公司,1.5-3万,大连·高新园区,1年,大专,民营,,计算机软件,https://jobs.51job.com/shenzhen/138470369.html?s=sou_sou_soulb&t=0_1&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coCWlQMgBqAj1UOFQ1VDc.html
java工程师,北京深蓝海域信息科技有限公司,1-2万,北京·昌平区,2年,本科,民营,50-150人,,https://jobs.51job.com/beijing/136768359.html?s=sou_sou_soulb&t=0_0&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coVjICYwVkUmpUMwxnUTw.html
全栈工程师,恩士迅信息科技（中国）有限责任公司,1.2-2.4万,广州,2年,本科,合资,10000人以上,专业服务(咨询、人力资源、财会),https://jobs.51job.com/guangzhou/148534528.html?s=sou_sou_soulb&t=0_0&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coCGgAYl8_BjgDZwVvUzQ.html
Java开发工程师,广州浩传网络科技有限公司,1-1.2万,广州·天河区,2年,本科,民营,50-150人,,https://jobs.51job.com/guangzhou/138009762.html?s=sou_sou_soulb&t=0_0&req=e946024bf790d2f18d5f0efc4c526d21,https://jobs.51job.com/all/coAWNSMVUwUmkPbAJkB2M.html
质量工程师,华域皮尔博格泵技术有限公司,1.5-3万,上海·宝山区,3-4年,本科,合资,150-500人,汽车,https://jobs.51job.com/shanghai/144932437.html?s=sou_sou_soulb&t=0_0&req=e946024bf790d2f18d5f0efc4c526d21,https://jobs.51job.com/all/coUzZXMQRnBjlWOlM4XTA.html
物联网/服务器工程师,成都瑞昌仪器制造有限公司,6-8千,成都·龙泉驿区,2年,本科,民营,少于50人,农/林/牧/渔,https://jobs.51job.com/chengdu/132989208.html?s=sou_sou_soulb&t=0_0&req=e946024bf790d2f18d5f0efc4c526d21,https://jobs.51job.com/all/coVjJXOl85VG9UMlM2UjM.html
软件测试工程师,贵州迦太利华信息科技有限公司北京分公司,1.5-1.8万,上海,5-7年,本科,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/shanghai/148567546.html?s=sou_sou_soulb&t=0_0&req=e946024bf790d2f18d5f0efc4c526d21,https://jobs.51job.com/all/coCWhXNAJmUWZTN1AzBWI.html
日语软件开发,深圳市凯格玛电器实业有限公司,1-2万,上海·浦东新区,3-4年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/shanghai/142743786.html?s=sou_sou_soulb&t=0_0&req=e946024bf790d2f18d5f0efc4c526d21,https://jobs.51job.com/all/coAWBWMVExAzxWMlA7UDw.html
PHP软件工程师,易恩孚商务咨询（芜湖）有限公司,1.4-1.7万,深圳,3-4年,本科,外资（欧美）,少于50人,互联网/电子商务,https://jobs.51job.com/shenzhen/147662064.html?s=sou_sou_soulb&t=0_0&req=fd2ded9eca7f7df764240678d90ff0f9,https://jobs.51job.com/all/coBWEHZgNjAzUCZVY8AWM.html
PHP开发运维工程师,挪亚检测认证集团有限公司,1-1.5万,上海,3-4年,本科,民营,1000-5000人,,https://jobs.51job.com/shanghai/147614456.html?s=sou_sou_soulb&t=0_0&req=fd2ded9eca7f7df764240678d90ff0f9,https://jobs.51job.com/all/coUjdXM146Um8FZ1c0AmI.html
Go开发工程师,上海大都市国际旅行社有限公司,8千-1万·13薪,上海·徐汇区,2年,本科,民营,50-150人,,https://jobs.51job.com/shanghai/143982676.html?s=sou_sou_soulb&t=0_0&req=e946024bf790d2f18d5f0efc4c526d21,https://jobs.51job.com/all/coAmEFZQJhAzoObgBm.html
项目经理(J13621),广东坚朗五金制品股份有限公司,2.5-3万,东莞,5-7年,大专,已上市,10000人以上,机械/设备/重工,https://jobs.51job.com/shenzhen/144812662.html?s=sou_sou_soulb&t=0_1&req=0d2a3ec1237621233f90c23c888215c0,https://jobs.51job.com/all/coUjZdMVAzAj4Cb1QxVzM.html
高级PHP开发工程师,屹泰柯环保科技（上海）有限公司,1.6-3万,上海·青浦区,3-4年,本科,民营,150-500人,环保,https://jobs.51job.com/shanghai/145868554.html?s=sou_sou_soulb&t=0_0&req=fd2ded9eca7f7df764240678d90ff0f9,https://jobs.51job.com/all/coAWECZwdiAzRSNwxsXT0.html
PHP程序员,广州市博艺职业培训学校,3.5-6.8千,广州·白云区,无需经验,大专,民营,少于50人,教育/培训/院校,https://jobs.51job.com/guangzhou/143114917.html?s=sou_sou_soulb&t=0_0&req=fd2ded9eca7f7df764240678d90ff0f9,https://jobs.51job.com/all/coVjRcMAJjBz8GYFYzUjU.html
电商前端开发工程师,成都易拥有实业有限责任公司,25-50万/年,成都·成华区,5-7年,本科,民营,150-500人,,https://jobs.51job.com/chengdu/148443023.html?s=sou_sou_soulb&t=0_0&req=0d2a3ec1237621233f90c23c888215c0,https://jobs.51job.com/all/coB2ZQPAJgAztRMlA2BWg.html
项目经理,其利众合（大连）商贸有限公司,1.5-2万,深圳,3-4年,大专,民营,,计算机软件,https://jobs.51job.com/shenzhen/147889741.html?s=sou_sou_soulb&t=0_0&req=0d2a3ec1237621233f90c23c888215c0,https://jobs.51job.com/all/coVDQGZAVkDjUObwJlAmM.html
PHP网站开发工程师,上海研洁建筑材料有限公司,6千-1.2万,上海,2年,本科,民营,50-150人,互联网/电子商务,https://jobs.51job.com/shanghai/111391649.html?s=sou_sou_soulb&t=0_0&req=e3c5c12292787e86b6e631365e4b654c,https://jobs.51job.com/all/coBmJVOVUyVm8OagFhBWA.html
日语IT工程师,北京政通仁和建材有限公司,2.5-3万,大连·高新园区,无需经验,本科,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/shanghai/139738124.html?s=sou_sou_soulb&t=0_1&req=e946024bf790d2f18d5f0efc4c526d21,https://jobs.51job.com/all/coVTZUMwBmVGsGYAJhUzE.html
