职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
C&B Officer (Based in SH),道达尔能源（北京）企业管理有限公司,1.2-1.3万·13薪,上海·黄浦区,2年,本科,外资（欧美）,500-1000人,石油/化工/矿产/地质,https://jobs.51job.com/shanghai/147241953.html?s=sou_sou_soulb&t=0_0&req=12ea85d263c1ceb5dde3e03dac1ff4a4,https://jobs.51job.com/all/coUjEFY1MzU2RUM1E0UTU.html
黄浦区 超市 营业员 收银员 就近分配,喜士多便利店C-STORE-零售业-连锁,4-6千,上海·黄浦区,无需经验,初中及以下,民营,1000-5000人,互联网/电子商务,https://jobs.51job.com/shanghai/58973670.html?s=sou_sou_soulb&t=0_0&req=33b71ddf349671b276eea91af431591b,https://jobs.51job.com/all/coAmZVMFM1ATlVNAVh.html
C&B Specialist,传思译奥（上海）商贸有限公司,1-1.5万·13薪,上海·静安区,3-4年,大专,外资（欧美）,150-500人,批发/零售,https://jobs.51job.com/shanghai/147898334.html?s=sou_sou_soulb&t=0_0&req=b7de8c2139abc93f417e6fb183dbfbea,https://jobs.51job.com/all/coAGdQMgNoDzlSPgJjAGM.html
汽车电子测试工程师,高蓓珥派珀管理咨询（上海）有限公司,1-1.5万,上海,1年,本科,合资,50-150人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shanghai/114348053.html?s=sou_sou_soulb&t=0_0&req=4f02d4bb71d58a53b6dc86aeb642986c,https://jobs.51job.com/all/coBmNdPVQxU25SPlc3XT4.html
MJ001上位机软件开发工程师,上海铭剑电子科技有限公司,2-4万·13薪,上海·闵行区,3-4年,本科,民营,50-150人,通信/电信/网络设备,https://jobs.51job.com/shanghai/141822953.html?s=sou_sou_soulb&t=0_0&req=4f02d4bb71d58a53b6dc86aeb642986c,https://jobs.51job.com/all/coA2dRNl85AT8DYgZgXDs.html
系统设计工程师（LCD monitor）,瑞昱半导体（深圳）有限公司,7千-1万,深圳,2年,本科,外资（非欧美）,500-1000人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/118447108.html?s=sou_sou_soulb&t=0_0&req=4f02d4bb71d58a53b6dc86aeb642986c,https://jobs.51job.com/all/coBGBVMANoUWYHYgFmBmE.html
linux工程师,深圳市金海创电子有限公司,2-3万,深圳·宝安区,3-4年,大专,民营,少于50人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/137628566.html?s=sou_sou_soulb&t=0_0&req=4f02d4bb71d58a53b6dc86aeb642986c,https://jobs.51job.com/all/coCWoHYFIwBTkBYAxsBmU.html
Logistics Representative - TMC,上海罗宾升国际货运有限公司,8千-1.1万,上海·静安区,2年,本科,外资（欧美）,1000-5000人,交通/运输/物流,https://jobs.51job.com/shanghai/96218779.html?s=sou_sou_soulb&t=0_0&req=33b71ddf349671b276eea91af431591b,https://jobs.51job.com/all/coBWBdO1Q3BzEAYARu.html
高级会计,斯纳安企业管理咨询（上海）有限公司,1-1.2万,上海·静安区,3-4年,本科,外资（欧美）,50-150人,金融/投资/证券,https://jobs.51job.com/shanghai/142803027.html?s=sou_sou_soulb&t=0_0&req=33b71ddf349671b276eea91af431591b,https://jobs.51job.com/all/coVjIBZ1A6ADwCYwBiAmY.html
保底1万免费住宿招C证司机,苏州微微行汽车服务有限公司,1-1.5万,上海·闵行区,1年,初中及以下,外资（欧美）,50-150人,计算机软件,https://jobs.51job.com/xiangtan/140462104.html?s=sou_sou_soulb&t=0_0&req=5bd7dfd0388156902e22f57b8cc4ca46,https://jobs.51job.com/all/coBGUBZ1EzDjdTMwZhAGA.html
C端产品经理,IBM China Global Delivery Center,2-2.6万·13薪,合肥·包河区,8-9年,本科,外资（欧美）,500-1000人,计算机软件,https://jobs.51job.com/beijing/147584652.html?s=sou_sou_soulb&t=0_1&req=5bd7dfd0388156902e22f57b8cc4ca46,https://jobs.51job.com/all/coUTQCZ140Az4AYwBh.html
移动端研发工程师,广州友地信息技术有限公司,1.2-2.4万,广州·海珠区,3-4年,大专,民营,150-500人,计算机软件,https://jobs.51job.com/guangzhou/147065650.html?s=sou_sou_soulb&t=0_0&req=afee8f93b6033ce5251f052d88ab775f,https://jobs.51job.com/all/coBWdVMgBlBjFUNAVuUDE.html
林和西高薪五险销售顾问c,小行家按揭（广州）信息咨询有限公司,8千-1万,广州·天河区,无需经验,初中及以下,民营,150-500人,金融/投资/证券,https://jobs.51job.com/guangzhou/134750051.html?s=sou_sou_soulb&t=0_0&req=d28eabdc540eb7199a1f1756656b615b,https://jobs.51job.com/all/coBmZTNlI4UmwPaAZgUDE.html
图像算法工程师,四川深瑞视科技有限公司,1.3-2.5万·14薪,成都·武侯区,3-4年,硕士,民营,50-150人,计算机软件,https://jobs.51job.com/chengdu/140580678.html?s=sou_sou_soulb&t=0_0&req=0f26112955d876a098fbfac401e2eca3,https://jobs.51job.com/all/coA2BRNF46VG0CbgBqAmM.html
c/c++开发工程师-可毕业生,上海英迈吉东影图像设备有限公司,8千-1.5万,上海,无需经验,本科,民营,150-500人,电子技术/半导体/集成电路,https://jobs.51job.com/shanghai/148030111.html?s=sou_sou_soulb&t=0_0&req=9d68d65c230c74a45927722c398c3f2a,https://jobs.51job.com/all/coVjEFYFc9DjBVMgdgUz8.html
C/C++开发工程师,上海竣智信息技术有限公司,6千-1.2万,成都·金牛区,2年,本科,民营,少于50人,互联网/电子商务,https://jobs.51job.com/chengdu/141437380.html?s=sou_sou_soulb&t=0_0&req=318ea9454fc76303b1144801f0138640,https://jobs.51job.com/all/coVDAFYV46VWlSPwJgBms.html
Linux驱动工程师(G6527),深圳市欧瑞博科技股份有限公司,1.8-3万,深圳·南山区,3-4年,本科,民营,500-1000人,计算机硬件,https://jobs.51job.com/shenzhen/148361897.html?s=sou_sou_soulb&t=0_0&req=65914dc62b76ab7ab86df6d8949b5c47,https://jobs.51job.com/all/coCGwFZgBjBjFWNAVlUTc.html
