,职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模,省份,城市
2562,天津大数据开发工程师,9千-1.8万,天津-东丽区,3-5年,本科,"['Hadoop', 'Java', 'Spark', 'Shell', 'MySQL']",沈阳嘉越电力科技有限公司,民营 ,100-299人 ,天津,天津
2563,报表开发工程师,8千-1.2万,天津-滨海新区,1-3年,本科,"['Oracle', 'MySQL', '数据建模', 'ETL', '数据分析']",天津市环智新能源技术有限公司,上市公司 ,1000-9999人 ,天津,天津
2564,ADAS数据分析工程师-汽车电子产品（天津）,1万-2万,天津-西青区,1-3年,本科,"['自动驾驶', 'ADAS']",经纬恒润,民营 ,1000-9999人 ,天津,天津
2565,机械设计大数据分析师,9千-1.2万,天津-和平区,不限,大专,"['R', 'SPSS', '机械结构设计', '机械编程']",北京浩彩信息科技发展有限公司,民营 ,20-99人 ,天津,天津
2566,气象数据应用工程师,1.2万-1.8万,天津,不限,硕士,"['Shell', 'Python', 'R', 'Matlab']",天津云遥宇航科技有限公司,民营 ,20-99人 ,天津,天津
2567,CRC(J11370),5千-8千,天津-和平区,不限,本科,['临床数据管理'],北京高博医院管理有限公司,民营 ,1000-9999人 ,天津,天津
2568,数据治理工程师(J11370),1.8万-2.5万,天津-津南区,3-5年,本科,['数据治理'],北京易华录信息技术股份有限公司,股份制企业 ,1000-9999人 ,天津,天津
2569,高级数据管理员,9千-1.3万,天津-滨海新区,3-5年,本科,"['医学', 'CRF设计']",凯莱英生命科学技术（天津）有限公司,合资 ,1000-9999人 ,天津,天津
2570,机械设计大数据分析师,9千-1.2万,天津-西青区,不限,大专,"['R', 'SPSS', '机械结构设计', '机械编程']",北京浩彩信息科技发展有限公司,民营 ,20-99人 ,天津,天津
2571,SAS程序员,1万-1.8万,天津-南开区,1-3年,本科,"['SAS', 'R语言', 'ADAM', 'CDISC']",泰格医药,合资 ,1000-9999人 ,天津,天津
2572,售电专员,4千-8千,天津-滨海新区,不限,学历不限,"['数据采集', '商业分析', '数据建模', '数据挖掘']",天津滨能四方电力售电有限公司,其它 ,100-299人 ,天津,天津
2573,(高级)SAS程序员,1万-1.8万,天津-和平区,1-3年,本科,['SAS'],海思科医药,民营 ,1000-9999人 ,天津,天津
2574,大数据开发工程师,1万-2万,天津-滨海新区,3-5年,本科,"['大数据开发', '数据分析', '大数据分析', 'Spark']",中海油信息科技有限公司,国企 ,1000-9999人 ,天津,天津
2575,环境大数据分析工程师,4千-6千,天津-滨海新区,1-3年,本科,"['环境工程', '环境科学与工程', '大气科学', '数据分析', '环境科学', '环境生态学']",佳华科技,民营 ,500-999人 ,天津,天津
2576,统计程序员,7千-1万,天津,不限,本科,"['SAS', '流行病学', '生物统计学', '数据挖掘', '数据库构建', '英语']",广东杰纳医药科技有限公司,民营 ,100-299人 ,天津,天津
2577,销售内业/内勤/销售助理（市区快销盘）无经验者请勿投递,4千-6千,天津,1-3年,大专,['房地产内业'],合富辉煌,上市公司 ,10000人以上 ,天津,天津
2578,客研主管(仕官生2.0),1.5万-2万,天津-河西区,3-5年,本科,"['市场营销', '客户洞察']",龙湖集团,上市公司 ,10000人以上 ,天津,天津
2579,sas程序员,5千-1万,天津-滨海新区,1-3年,本科,['SAS'],凯莱英生命科学技术（天津）有限公司,合资 ,1000-9999人 ,天津,天津
2580,生产数字化工程师,1万-2万,天津-滨海新区,1-3年,硕士,"['数据分析', '大数据分析', '数据治理', '大数据平台', '数据仓库', '数据挖掘', '数据采集', '数据清洗']",华熙生物科技(天津)有限公司,上市公司 ,1000-9999人 ,天津,天津
2581,统计学研究员,8千-1.2万,天津-南开区,1-3年,硕士,['临床数据分析'],嘉思特医疗,民营 ,300-499人 ,天津,天津
2582,大数据开发工程师,2万-2.5万,天津-东丽区,3-5年,本科,"['大数据开发', '运维', '数据采集', '数据治理']",科锐尔人力资源服务(苏州)有限公司,上市公司 ,1000-9999人 ,天津,天津
2583,机械设计大数据分析师,9千-1.2万,天津-南开区,不限,大专,"['R', 'SPSS', '机械结构设计', '机械编程']",北京浩彩信息科技发展有限公司,民营 ,20-99人 ,天津,天津
2584,时空大数据计算与分析工程师,1万-1.5万,天津,3-5年,本科,"['遥感', 'arcgis', 'Python', '大数据平台']",天津智信慧通信息技术有限公司,民营 ,20人以下 ,天津,天津
2585,数据科学家,2.5万-3万,天津-西青区,5-10年,硕士,"['数据挖掘', '机器学习', '数据分析', '大数据分析']",布尔科技,民营 ,20-99人 ,天津,天津
2586,应用工程师,6千-8千,天津-西青区,不限,大专,"['生物工程', '医学检验']",天津质谱生物科技有限公司,民营 ,20人以下 ,天津,天津
2587,01遗传分析师,9千-1.3万,天津,1-3年,硕士,"['Python', 'Java', 'Perl', '生物信息', '群体进化', '数量遗传']",北京康普森生物技术有限公司,民营 ,100-299人 ,天津,天津
2588,市场调研-化学方向,1万-2万,天津-滨海新区,无经验,硕士,"['化学小分子原料', '天然化合物', '香精香料', '医药中间体', '发酵类', '供应商调查与管理', '市场调查', '产品检索']",北京安必奇生物科技有限公司,民营 ,300-499人 ,天津,天津
2589,大数据分析师（可培养）,9千-1.2万,天津-南开区,不限,大专,"['数据分析', '大数据分析', '数据采集', '大数据平台']",北京蓝飞信息科技有限公司,民营 ,20-99人 ,天津,天津
2590,数据编程工程师,9千-1.2万,天津-河西区,不限,大专,"['Python', '回归分析', 'SPSS', 'R', 'Excel']",北京识瑞网络科技有限公司,民营 ,20-99人 ,天津,天津
2591,大数据分析师（可培养）,9千-1.2万,天津-西青区,不限,大专,"['数据分析', '大数据分析', '数据采集', '大数据平台']",北京蓝飞信息科技有限公司,民营 ,20-99人 ,天津,天津
2592,数据编程工程师,7千-1.2万,天津-河西区,不限,大专,"['Python', 'SPSS', 'R', 'Excel', 'Stata']",北京识瑞网络科技有限公司,民营 ,20-99人 ,天津,天津
2593,大数据分析师（可培养）,9千-1.2万,天津-南开区,不限,大专,"['数据分析', '大数据分析', '数据采集', '大数据平台']",北京蓝飞信息科技有限公司,民营 ,20-99人 ,天津,天津
2594,大数据分析师（可培养）,9千-1.2万,天津-河西区,不限,大专,"['数据分析', '大数据分析', '数据采集', '大数据平台']",北京蓝飞信息科技有限公司,民营 ,20-99人 ,天津,天津
2595,大数据分析师（可培养）,9千-1.2万,天津-河西区,不限,大专,"['数据分析', '大数据分析', '数据采集', '大数据平台']",北京蓝飞信息科技有限公司,民营 ,20-99人 ,天津,天津
2596,大数据分析师（可培养）,9千-1.2万,天津-河西区,不限,大专,"['数据分析', '大数据分析', '数据采集', '大数据平台']",北京蓝飞信息科技有限公司,民营 ,20-99人 ,天津,天津
2597,大数据分析师,8千-1万,宁波-鄞州区,不限,大专,"['SPSS', 'Hive']",深圳市亿生新信息科技有限公司,民营 ,20人以下 ,浙江,宁波
2598,数据分析岗,8千-1万,宁波-鄞州区,不限,本科,"['行业分析', 'SPSS', 'SAS', '金融数据分析', 'Stata', 'Oracle Hyperion', 'TDSQL']",宁波市资金清算中心,国企 ,20-99人 ,浙江,宁波
