,职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模,省份,城市
1443,数据治理岗,1.5万-2万,北京,1-3年,本科,['数据分析'],中电太极,国企 ,1000-9999人 ,北京,北京
1444,ESG分析师,1.2万-2.4万,北京-东城区,1-3年,本科,"['ESG', '数据分析']",中创碳投,民营 ,100-299人 ,北京,北京
1445,数据工程师,1.3万-1.7万,北京-海淀区,1-3年,本科,"['Python', 'T-SQL', 'PowerBI', 'PYSPARK', 'KUSTO', 'C#']",博彦科技,上市公司 ,10000人以上 ,北京,北京
1446,研究分析,1万-1.5万,北京-大兴区,1-3年,硕士,"['数据库', '数据分析', 'SPSS']",中国国际电子商务有限公司,国企 ,500-999人 ,北京,北京
1447,地图数据工程师（北京）,1.8万-3.5万,北京-朝阳区,3-5年,本科,"['地图数据匹配', 'Java', 'Python']",杭州朗歌科技有限公司,民营 ,100-299人 ,北京,北京
1448,临床研究数据与统计事务专员,8千-1.6万,北京-大兴区,不限,本科,['临床数据分析'],沃森生物,上市公司 ,1000-9999人 ,北京,北京
1449,空间数据治理和地理信息系统GIS工程师,1.5万-1.8万,北京,3-5年,本科,"['数据治理', '遥感', 'SQL', 'MySQL']",北京安信创业信息科技发展有限公司,国企 ,100-299人 ,北京,北京
1450,数据分析专家(S8520),2万-4万,北京-朝阳区,5-10年,本科,['数据分析'],成都萌脑科技有限责任公司,民营 ,100-299人 ,北京,北京
1451,临床数据专员,1.4万-2万,北京,1-3年,本科,"['临床数据管理', '临床数据分析', '临床试验', 'CRO']",北京科兴中维生物技术有限公司,合资 ,1000-9999人 ,北京,北京
1452,新奥—数据分析师,1.5万-2万,北京-朝阳区,5-10年,大专,"['FineReport', 'FCRP', 'SQL', 'HTML', 'CSS', 'Javascript']",北京戌华防务技术有限公司,民营 ,100-299人 ,北京,北京
1453,数据分析师 (MJ001834),1.5万-3万,北京,3-5年,本科,"['指标体系梳理', '业务指标分析', '数据监控']",北京自如生活企业管理有限公司,民营 ,10000人以上 ,北京,北京
1454,数据合规岗,1.5万-3万,北京-石景山区,3-5年,硕士,['合规'],智联猎头,上市公司 ,1000-9999人 ,北京,北京
1455,数据治理岗(J28350),2.5万-3万,北京-大兴区,不限,本科,"['数据治理', '数据分析', '数据架构', 'SQL']",京东方科技集团股份有限公司,上市公司 ,10000人以上 ,北京,北京
1456,商业分析总监(MJ003717),4万-7万,北京,5-10年,本科,"['商业分析', '策略运营', '行业分析', '战略研究', '数据分析']",北京健康之家科技有限公司,民营 ,1000-9999人 ,北京,北京
1457,数据分析专家(J220531008),3万-5万,北京,5-10年,本科,[],北京嘀嘀无限科技发展有限公司,外商独资 ,1000-9999人 ,北京,北京
1458,数据分析师,2万-3万,北京-大兴区,3-5年,本科,"['数坊', '电商', '京东']",北京运营宝科技有限公司,民营 ,300-499人 ,北京,北京
1459,数据分析师,1.5万-1.8万,北京-东城区,3-5年,本科,"['Python', 'SQL', 'VISO', '统计学', '应用数学', '描述统计', '相关分析']",CBC(北京)信用管理有限公司第一营业部,外商独资 ,10000人以上 ,北京,北京
1460,数据分析师,2万-2.5万,北京-丰台区,5-10年,本科,['数据分析'],北京外投信享科技有限公司,国企 ,20-99人 ,北京,北京
1461,金融数据研究员,3万-5.5万,北京-朝阳区,1-3年,硕士,"['数据建模', 'Python', 'SQL', '数据仓库']",北京赛锋科技有限公司,外商独资 ,20-99人 ,北京,北京
1462,BI工程师,1.7万-2.2万,北京-西城区,5-10年,本科,"['BI', 'SmartBI', '数据分析', '仪表盘']",北京瑞友科技股份有限公司,民营 ,1000-9999人 ,北京,北京
1463,BI数据分析师,1.5万-3万,北京-西城区,5-10年,本科,['财务数据分析'],远光软件股份有限公司北京分公司,股份制企业 ,1000-9999人 ,北京,北京
1464,高级数据分析师,1.3万-2万,北京-西城区,5-10年,大专,"['SQL', 'Python', '机器学习算法', '国网电力', '大数据', '数据中台']",福州天驰通网络技术有限公司,民营 ,20人以下 ,北京,北京
1465,策划经理（43611）,2万-3万,北京-海淀区,不限,本科,"['数据分析', '品牌策划']",汽车之家,民营 ,1000-9999人 ,北京,北京
1466,质量与可靠性大数据分析岗,2万-2.6万,北京,3-5年,硕士,"['数据分析', '大数据分析', '数据治理', '大数据平台']",航天科工防御技术研究试验中心,事业单位 ,100-299人 ,北京,北京
1467,Study Engineer-Data Analyst,1.5万-2万,北京-丰台区,3-5年,本科,"['Tableau', 'Power-BI', 'Excel']",威立雅(中国)环境服务有限公司,外商独资 ,10000人以上 ,北京,北京
1468,数据分析岗,1.5万-3万,北京-丰台区,3-5年,硕士,"['数据分析', '数据挖掘', '数据治理', 'Python']",智联猎头,上市公司 ,1000-9999人 ,北京,北京
1469,ERP数据工程师,1.5万-2.5万,北京-朝阳区,3-5年,本科,"['SQL', '2、\tSAP', '4、\t数据可视化', 'Python']",北京中源合聚生物科技有限公司,民营 ,100-299人 ,北京,北京
1470,数据分析师,1.5万-2.8万,北京,3-5年,本科,"['数据分析', '数据架构', '模型设计', 'Python']",中软信息系统工程有限公司,国企 ,10000人以上 ,北京,北京
1471,中国环境监测总站数据分析工程师,8千-1.2万,北京-朝阳区,不限,硕士,"['大气监测', '数据分析']",无锡中科光电技术有限公司,上市公司 ,1000-9999人 ,北京,北京
1472,TOB行业分析师,2万-3万,北京,3-5年,本科,"['竞品分析', '行业研究', '市场研究', '用户调研', '全职']",启客(北京)科技有限公司,民营 ,10000人以上 ,北京,北京
1473,高级数据分析师,1.2万-2.4万,北京-朝阳区,5-10年,本科,"['数据分析', '行业分析', 'SQL Server', 'SQL', 'Oracle', 'MySQL']",瑞环管理咨询(北京)有限公司,民营 ,20-99人 ,北京,北京
1474,数据管理员,1.5万-3万,北京-丰台区,1-3年,本科,"['医学', '流行病学', '英语']",北京海金格医药科技股份有限公司,民营 ,500-999人 ,北京,北京
1475,主数据管理岗,2万-2.5万,北京-东城区,5-10年,本科,['主数据'],北京赛鼎科技有限公司,国企 ,20-99人 ,北京,北京
1476,数据部经理,2万-2.5万,北京-朝阳区,3-5年,本科,"['医学', 'SAS', '数据挖掘', '数据建模', '数据库开发']",兴德通,上市公司 ,100-299人 ,北京,北京
1477,数据开发工程师,3万-5万,北京-海淀区,1-3年,硕士,"['Python', 'MySQL', 'CLICKHOUSE数据库', 'Linux', '数据分析']",华世先达咨询(北京)有限公司,民营 ,100-299人 ,北京,北京
1478,临床数据管理员,8千-1.1万,北京-朝阳区,1-3年,本科,['临床数据管理'],北京复星医药科技开发有限公司,上市公司 ,100-299人 ,北京,北京
1479,统计分析师,1.2万-1.8万,北京-石景山区,1-3年,硕士,"['SAS', 'SPSS', 'RPA', 'R']",北京正义网络传媒有限公司,国企 ,100-299人 ,北京,北京
1480,量化分析师,2万-4万,北京-朝阳区,1-3年,硕士,"['量化分析', '风险分析']",北京中兴百盈科技有限公司,民营 ,100-299人 ,北京,北京
1481,大数据分析师,8千-1.2万,北京-东城区,不限,大专,"['数据分析', '大数据分析', '数据采集', '大数据平台']",北京蓝飞信息科技有限公司,民营 ,20-99人 ,北京,北京
1482,大数据分析师,1万-1.5万,北京-东城区,不限,大专,"['SPSS', '大数据分析', 'R', 'Excel']",北京鼎盛福祥科技有限公司,民营 ,20-99人 ,北京,北京
1483,大数据分析师,8千-1.2万,北京-海淀区,不限,大专,"['数据分析', '大数据分析', '数据采集', '大数据平台']",北京蓝飞信息科技有限公司,民营 ,20-99人 ,北京,北京
1484,经济数据分析,1.1万-1.5万,北京-东城区,不限,大专,"['SPSS', '大数据分析', 'R', 'Excel']",北京鼎盛福祥科技有限公司,民营 ,20-99人 ,北京,北京
1485,工程造价数据分析师,8千-1万,北京-顺义区,1年以下,大专,"['工程造价', '大数据', 'SPSS']",北京埃孚斯科技有限公司,民营 ,100-299人 ,北京,北京
1486,销售管理专员,1万-1.5万,北京-朝阳区,1-3年,本科,"['流程管理', '业务管理']",紫光计算机科技有限公司,国企 ,300-499人 ,北京,北京
1487,海外数据分析师,8千-1.3万,北京-朝阳区,1-3年,本科,"['英语6级', 'office', '游戏数据分析']",北京伽马新媒文化传播有限公司,民营 ,20-99人 ,北京,北京
1488,数据分析师,8千-1.6万,北京,1-3年,学历不限,"['数据分析', '市场数据分析', '运营数据分析', '经营数据分析']",北京百路通汽车租赁有限公司,民营 ,100-299人 ,北京,北京
1489,数据分析师,1.5万-2.5万,北京,5-10年,本科,"['数据分析', '需求分析', '政务数据', '量科技']",北京华通人商用信息有限公司,其它 ,100-299人 ,北京,北京
1490,大数据开发工程师,2万-4万,北京-朝阳区,1-3年,本科,"['Scala', 'Hadoop', 'HIVE']",好大夫在线,外商独资 ,500-999人 ,北京,北京
1491,大数据工程师,3万-4万,北京-昌平区,3-5年,本科,"['数据仓库', '数据分析', 'SQL', 'Python']",北京未来科学城发展集团有限公司,国企 ,500-999人 ,北京,北京
1492,产业分析师岗（联盟协会方向）,1万-1.5万,北京,1-3年,本科,['行业分析'],北京航天云路有限公司,国企 ,100-299人 ,北京,北京
1493,量化分析师,2.5万-5万,北京-朝阳区,1-3年,硕士,"['MATLAB', 'Python', '数据分析', '数据挖掘']",北京中兴百盈科技有限公司,民营 ,100-299人 ,北京,北京
1494,大数据分析师（无经验）,9千-1.3万,北京-密云区,不限,大专,"['数据分析', '大数据分析', '数据采集']",北京壹问通信息科技有限公司,民营 ,100-299人 ,北京,北京
1495,Python数据分析与研发工程师,1.5万-2万,北京-海淀区,3-5年,本科,"['Python', 'Flask', 'Django', 'MongoDB', 'HTML5', '架构设计', '后端开发', '数据分析']",长城网际,国企 ,100-299人 ,北京,北京
1496,数据分析主管,1.5万-2万,北京,3-5年,本科,"['行业分析', '商业数据分析', '运营数据分析', '经营数据分析', '市场数据分析', '销售数据分析']",北京茗视光眼科医院管理有限公司,股份制企业 ,100-299人 ,北京,北京
1497,项目经理（数据分析）,1.7万-2万,北京-西城区,3-5年,本科,"['IT项目', '软件项目', '大数据项目', '信息安全项目', '阿里云', '云计算']",河北季东信息科技有限公司,民营 ,500-999人 ,北京,北京
1498,数据库开发工程师,1万-2万,北京-海淀区,3-5年,本科,"['Oracle', 'MySQL', 'SQL', 'Python', 'Java']",网娱互动科技(北京)股份有限公司,民营 ,100-299人 ,北京,北京
1499,数据分析工程师-北京,1.5万-2.5万,北京-朝阳区,1-3年,本科,"['帆软', 'BI']",北京人大金仓信息技术股份有限公司,股份制企业 ,500-999人 ,北京,北京
1500,商业数据业务助理,1.8万-2.3万,北京-朝阳区,1-3年,本科,"['SQL', '英语可作为工作语言', '计算机专业', '数学/统计学专业', 'R']",新浪网,外商独资 ,1000-9999人 ,北京,北京
1501,数据分析师,1万-1.5万,北京-东城区,3-5年,本科,['描述统计'],北京鑫瑞天翔科技发展有限公司,民营 ,100-299人 ,北京,北京
1502,数据分析师（北京）,1.1万-2万,北京-海淀区,不限,硕士,"['回归分析', 'SAS', 'SQL', 'Python', 'R', 'Excel', '方差分析', '因子分析']",北京瑞尼尔技术有限公司,民营 ,20-99人 ,北京,北京
1503,经营分析与计划考核经理岗,1.2万-1.5万,北京-丰台区,5-10年,本科,['决策树'],中广核新能源投资(深圳)有限公司北京分公司,国企 ,1000-9999人 ,北京,北京
1504,质量运营-数据分析方向,1.2万-2万,北京-朝阳区,1-3年,本科,"['SQL', 'Spark', 'Hive', '数据看板', '数据可视化', '数据体系', '数据仓']",字节跳动,民营 ,10000人以上 ,北京,北京
1505,数据库开发工程师,1万-1.8万,北京-朝阳区,3-5年,大专,"['数据库开发', 'SQL', 'PB', '数据分析']",北京永生鼎立信息技术有限公司,合资 ,100-299人 ,北京,北京
1506,数据分析专员,6千-8千,北京-丰台区,不限,本科,['踏实、认真'],北京志翔领驭冷链科技有限公司,民营 ,100-299人 ,北京,北京
1507,数据分析师,1.5万-2.7万,北京,3-5年,硕士,"['Python', 'Java', 'Excel', 'Matlab', 'R']",大公国际资信评估有限公司,国企 ,500-999人 ,北京,北京
1508,大气环境数据分析师,1.5万-2.5万,北京-海淀区,3-5年,本科,"['数据分析', '大数据分析', '行业分析']",中节能天融科技有限公司,国企 ,1000-9999人 ,北京,北京
1509,数据可视化程序员（需Spotfire经验）,1.2万-1.7万,北京-朝阳区,1-3年,本科,"['Spotfire', 'Javascript', 'Python', 'SAS', 'R', 'HTML', 'CSS']",外企德科,合资 ,1000-9999人 ,北京,北京
1510,数据开发工程师,1.5万-2万,北京-海淀区,1-3年,本科,['Python'],北京讴客青年科技中心(有限合伙),民营 ,20-99人 ,北京,北京
1511,大数据工程师-西二旗,1.6万-2.3万,北京-海淀区,3-5年,本科,"['Flink', 'HIVE']",宇信科技,民营 ,1000-9999人 ,北京,北京
1512,数据库工程师/管理员,5千-8千,北京-东城区,不限,大专,"['数据库', '数据仓库', '数据分析', '运维']",上海海由电子科技有限公司,民营 ,100-299人 ,北京,北京
1513,临床数据管理员,1万-2万,北京-朝阳区,1-3年,大专,"['医学', '临床数据管理', '药学']",博纳西亚(合肥)医药科技有限公司,民营 ,300-499人 ,北京,北京
1514,资深数据分析师(增长方向)（43893）,2.5万-4.5万,北京-海淀区,不限,本科,['数据分析'],汽车之家,民营 ,1000-9999人 ,北京,北京
1515,用户运营,7千-1.4万,北京,不限,大专,['数据分析'],北京栽梦未来科技有限公司,股份制企业 ,100-299人 ,北京,北京
1516,数据统计经理,2万-4万,北京-丰台区,1-3年,本科,['临床试验'],北京国铭博思医药科技有限公司,民营 ,20-99人 ,北京,北京
1517,软件数据分析师,9千-1.2万,北京-东城区,不限,大专,"['SPSS', '大数据分析', 'R', 'Excel']",北京鼎盛福祥科技有限公司,民营 ,20-99人 ,北京,北京
1518,国土调查云数据处理工程师,6千-1.2万,北京-通州区,1年以下,本科,"['数据分析', '数据采集', '大数据分析']",北京新兴科遥信息技术有限公司,民营 ,100-299人 ,北京,北京
1519,商务分析专家,1.5万-3万,北京-东城区,5-10年,本科,"['Tableau', '金融', '投标', '定价', 'Power-BI', '英语可作为工作语言', '数学/统计学专业']",毕马威华振,外商独资 ,1000-9999人 ,北京,北京
1520,商业数据分析经理/商业数据分析师(J18568),2.5万-3万,北京,5-10年,硕士,"['Python', '战略分析模型', '战略分析工具', '商业分析模型', '数据挖掘', '商业分析工具', '开源情报', 'Power-BI']",金风科技股份有限公司,股份制企业 ,1000-9999人 ,北京,北京
1521,数据分析主管,9千-1万,北京-朝阳区,1-3年,本科,"['数据分析', '商业分析', '财务分析', 'R语言', 'SPSS', 'SAS', '经营分析', '制药/医疗']",北京一脉阳光医学信息技术有限公司,股份制企业 ,100-299人 ,北京,北京
1522,数据分析岗,1.4万-2.5万,北京,5-10年,硕士,['相关分析'],北京首创生态环保集团股份有限公司,上市公司 ,1000-9999人 ,北京,北京
1523,经营分析专家(J220512009),3万-5万,北京,5-10年,本科,[],北京嘀嘀无限科技发展有限公司,外商独资 ,1000-9999人 ,北京,北京
1524,数据采集,8千-1.2万,北京-朝阳区,不限,大专,"['数据采集', 'Tableau', 'SQL', 'SPSS']",北京壹问通信息科技有限公司,民营 ,100-299人 ,北京,北京
1525,市场分析师,9千-1.5万,北京,1-3年,本科,['市场研究'],北京智信道科技股份有限公司,民营 ,20-99人 ,北京,北京
1526,经营分析规划,3.5万-6万,北京-海淀区,5-10年,本科,['SQL'],北京福睿思特国际人力资源有限公司,民营 ,20-99人 ,北京,北京
1527,医学数据分析,1万-1.6万,北京-朝阳区,1-3年,本科,['临床数据分析'],金叶天成(北京)科技有限公司,民营 ,100-299人 ,北京,北京
1528,数据分析师,8千-1.6万,北京-海淀区,1-3年,硕士,"['数据采集', '需求分析']",佰诺全景生物技术(北京)有限公司,民营 ,20-99人 ,北京,北京
1529,经营分析专家,2.5万-4万,北京-朝阳区,3-5年,本科,"['商业分析', 'SQL', '行业分析', '经营分析']",字节跳动,民营 ,10000人以上 ,北京,北京
1530,数据专家-银行-长期稳定,2.5万-5万,北京-海淀区,10年以上,本科,"['Python', 'SAS', 'SMP']",软通动力信息技术(集团)股份有限公司,民营 ,10000人以上 ,北京,北京
1531,高级数据分析师,1.5万-2.5万,北京-朝阳区,不限,学历不限,"['Python', 'MMORPG']",上海中清龙图网络科技有限公司北京分公司,民营 ,1000-9999人 ,北京,北京
1532,数据分析工程师,1.5万-2万,北京,3-5年,本科,['生命周期管理'],北京安科科技集团有限公司,民营 ,100-299人 ,北京,北京
1533,食品研发工程师-基础研究（数据分析）,1.2万-2.4万,北京,不限,博士,['生化分析实验'],北京鸿禧志业科技有限公司,民营 ,100-299人 ,北京,北京
1534,市场调研分析,1.2万-2万,北京,不限,硕士,"['市场调研分析', '竞品分析', '供应商管理', '产品调研', 'MRNA', '原料药', '化学药有机合成', '发酵']",北京安必奇生物科技有限公司,民营 ,300-499人 ,北京,北京
1535,数据分析工程师,1.3万-2.2万,北京-东城区,3-5年,本科,"['数据分析', 'Axure', 'MongoDB', 'oracle数据库', 'Axure RP', '需求分析']",北京乾坤建业信息技术有限公司,民营 ,20-99人 ,北京,北京
1536,信息部经理,8千-1万,北京,1-3年,大专,"['数据分析', '统计学', '销售业务数据']",北京诚佳和商贸有限公司,民营 ,500-999人 ,北京,北京
1537,大数据工程师,1.5万-3万,北京-顺义区,3-5年,本科,"['数据治理', 'SQL', '大数据分析', '数据处理', '数据分析', '数据采集', '数据挖掘', 'ETL']",新极技术(北京)有限公司,民营 ,20-99人 ,北京,北京
1538,高级数据分析师,2万-3万,北京-朝阳区,3-5年,硕士,"['SAS', 'Python', '决策树', '逻辑回归', '机器学习', '金融机构', 'R']",武汉杞梓企业管理咨询有限公司,民营 ,500-999人 ,北京,北京
1539,大数据分析/大数据技术产品经理,8千-1.6万,北京-海淀区,不限,大专,"['大数据产品', 'Python', 'SQL']",北京知链科技有限公司,民营 ,100-299人 ,北京,北京
1540,数据分析师,1万-1.5万,北京-海淀区,5-10年,本科,"['SQL', 'QLIK', 'Power-BI']",微创软件,合资 ,10000人以上 ,北京,北京
1541,数据分析师,8千-1.2万,北京-朝阳区,不限,本科,"['数据分析', '英语视听说熟练']",西安万兴服务外包有限责任公司, ,20-99人 ,北京,北京
1542,数据分析师,2万-3万,北京-海淀区,5-10年,硕士,['R'],千锋互联科技,民营 ,500-999人 ,北京,北京
1543,金融大数据分析师,7千-1.2万,北京-东城区,不限,大专,"['SPSS', '大数据分析师', 'R', 'Excel']",北京鼎盛福祥科技有限公司,民营 ,20-99人 ,北京,北京
1544,数据分析师（北京）,1万-1.5万,北京-朝阳区,3-5年,大专,"['Python', 'SQL', 'Java']",京曼科技(北京)有限公司,民营 ,20-99人 ,北京,北京
1545,营销业务分析经理（SFE） (MJ000140),2万-4万,北京-朝阳区,3-5年,本科,['SFE'],泛生子基因,上市公司 ,1000-9999人 ,北京,北京
1546,数据建模工程师(国网征信有限公司),2万-3万,北京-西城区,5-10年,硕士,['数据建模'],国网数字科技控股有限公司,国企 ,1000-9999人 ,北京,北京
1547,数据分析师,1.3万-2.3万,北京-石景山区,1-3年,本科,"['Python', 'Spark', 'Hadoop', 'Pandas', 'NumPy', 'Matplotlib']",天阳科技,上市公司 ,1000-9999人 ,北京,北京
1548,大数据业务分析师,1.5万-3万,北京-海淀区,5-10年,本科,"['SQL', 'POWERDESIGER', 'DDM', '需求分析', '数据']",华信永道,上市公司 ,500-999人 ,北京,北京
1549,商业分析师,8千-1.5万,北京-朝阳区,1-3年,大专,"['商业分析', '数据挖掘', '数据建模', '数据采集']",汇天科技有限公司,其它 ,20-99人 ,北京,北京
1550,数据分析总监,3万-5万,北京-朝阳区,5-10年,本科,"['数据分析', '模型设计', '数据清洗', '行业分析', '商业数据分析', '运营数据分析', '市场数据分析', '电商数据分析']",锐仕方达人力资源集团有限公司第一分公司,民营 ,20-99人 ,北京,北京
1551,数据中台工程师,8千-1.3万,北京-西城区,不限,大专,"['SQL', '数据中台', '数据接入', '数据整合', '数据分析', '数据清洗']",北京博兴高科科技有限公司,民营 ,20-99人 ,北京,北京
1552,研究员,1万-1.5万,北京,无经验,本科,"['定性研究', '定量研究', '用户研究', '研究报告']",央视市场研究,合资 ,500-999人 ,北京,北京
1553,总公司-需求管理部-需求管理岗,1.5万-2万,北京-朝阳区,3-5年,本科,"['数据监控', '数据分析', '商业数据分析', 'SQL Server', '商业分析', 'SQL', '行业分析']",中英人寿保险有限公司,合资 ,1000-9999人 ,北京,北京
1554,数据分析师,6千-8千,北京-大兴区,不限,大专,"['数据分析', '商业数据分析', '运营数据分析', '经营数据分析', '市场数据分析']",安徽闳瑞幸成信息技术有限公司,民营 ,300-499人 ,北京,北京
1555,数据治理工程师,1.5万-3万,北京,5-10年,本科,"['数据治理', '数据分析', '数据挖掘', 'SQL', '数据集市']",北京神州数字科技有限公司,上市公司 ,10000人以上 ,北京,北京
1556,市场分析岗,1.5万-3万,北京-大兴区,5-10年,本科,"['用户分析', '市场研究']",智联猎头,上市公司 ,1000-9999人 ,北京,北京
1557,医药SFE专员,7千-1万,北京-门头沟区,1-3年,大专,"['SPSS', 'SAS', 'Python', 'Java', '制药/医疗']",青岛百洋医药股份有限公司,民营 ,1000-9999人 ,北京,北京
1558,高级数据分析师（北京） (MJ000047),2万-3万,北京,3-5年,硕士,"['银行数据分析', '互金数据分析']",百融云创,股份制企业 ,500-999人 ,北京,北京
1559,数据分析工程师,7千-1.2万,北京-石景山区,1-3年,大专,['数据开发'],北京魔方恒久软件有限公司,民营 ,20-99人 ,北京,北京
1560,资深数据分析师（资讯内容方向）（43880）,2万-4万,北京-海淀区,不限,本科,['数据分析'],汽车之家,民营 ,1000-9999人 ,北京,北京
1561,数据管理专员,8千-1.5万,北京-朝阳区,1-3年,大专,['临床数据分析'],北京水木菁创医药科技有限公司,民营 ,100-299人 ,北京,北京
1562,建模分析师,1.8万-3万,北京-朝阳区,1-3年,本科,"['机器学习', '银行', '金融', '信贷风控']",深圳市洞见智慧科技有限公司,民营 ,20-99人 ,北京,北京
1563,数据运营与分析岗-数据运营分析总监,2.5万-4万,北京-东城区,5-10年,本科,"['行业数据分析', '数据仓库建模', 'SQL']",中国建筑,国企 ,1000-9999人 ,北京,北京
1564,临床数据管理员,1万-1.8万,北京-朝阳区,1-3年,本科,"['临床数据分析', '临床试验']",浙江和泽医药科技股份有限公司,民营 ,500-999人 ,北京,北京
1565,气象数据应用工程师,2万-4万,北京-海淀区,5-10年,硕士,"['Python', 'Shell']",天津云遥宇航科技有限公司,民营 ,20-99人 ,北京,北京
1566,统计师,1.1万-1.5万,北京-朝阳区,1-3年,硕士,['临床数据分析'],明智医疗科技(上海)有限公司,民营 ,20-99人 ,北京,北京
1567,中级数据管理员/数据经理,1.8万-3.5万,北京-朝阳区,不限,本科,"['临床数据分析', 'CRO', '临床试验']",春天医药,民营 ,100-299人 ,北京,北京
1568,大数据分析师（碳中和方向）,1.2万-2.4万,北京-丰台区,不限,本科,"['数据分析', 'SQL', 'R语言', '碳中和', '碳']",英视睿达,股份制企业 ,300-499人 ,北京,北京
1569,产品数据管理（PDM）主管,1万-1.8万,北京-海淀区,5-10年,本科,"['PDM', 'EDB', 'excel', 'VB']",西克麦哈克（北京）仪器有限公司,外商独资 ,100-299人 ,北京,北京
1570,电商数据分析/CRM运营/会员运营主管,1万-1.8万,北京-朝阳区,3-5年,大专,"['社群运营', '会员管理', '流量运营', '数据运营', '活动运营']",淘通科技,民营 ,100-299人 ,北京,北京
1571,数据分析（供应链）,1.2万-1.4万,北京-海淀区,1-3年,本科,"['SQL', 'Java', 'Python', '帆软']",联想教育科技(北京)有限公司,民营 ,100-299人 ,北京,北京
1572,数据开发工程师,1.5万-2.5万,北京-昌平区,3-5年,本科,"['FINEBI', '数据仓库', 'FineReport (帆软)']",三一集团有限公司,民营 ,10000人以上 ,北京,北京
1573,数据分析师,1万-1.5万,北京,不限,大专,['文职'],北京颐和润雨投资管理有限公司,股份制企业 ,20-99人 ,北京,北京
1574,数据分析师2,1万-2万,北京-东城区,1年以下,大专,['线下零售'],北京颐和润雨投资管理有限公司,股份制企业 ,20-99人 ,北京,北京
1575,业务数据分析师,1.5万-2.5万,北京-丰台区,3-5年,本科,"['Python', '数据分析', '数据挖掘', '数据清洗', 'SPSS', '数据建模']",北京涨客舟科技有限公司,股份制企业 ,500-999人 ,北京,北京
1576,大数据分析师,8千-1.2万,北京-大兴区,不限,大专,"['数据分析', '大数据分析', '数据采集', '大数据平台']",北京汉统信息科技有限公司,民营 ,20-99人 ,北京,北京
1577,网络安全数据分析师 (MJ000233),1.5万-3万,北京-石景山区,1-3年,本科,['Hadoop'],中国网安,国企 ,1000-9999人 ,北京,北京
1578,临床数据管理,9千-1万,北京-朝阳区,1-3年,本科,"['临床试验', 'CRO']",康龙化成(成都)临床研究服务有限公司,合资 ,10000人以上 ,北京,北京
1579,python数据分析师,1.3万-2万,北京-海淀区,1-3年,本科,"['Python', 'Java', 'Shell', 'SQL']",北京智通仁和科技发展有限公司,民营 ,300-499人 ,北京,北京
1580,金融数据分析,8千-1.5万,北京-丰台区,1-3年,本科,"['信托数据分析', '投融资数据分析']",北京博英科技有限公司,民营 ,100-299人 ,北京,北京
1581,商业分析师,8千-1.5万,北京,3-5年,本科,"['商业分析', '需求分析']",北京银盾泰安网络科技有限公司,民营 ,20-99人 ,北京,北京
1582,飞机大数据实时分析研究平台架构工程师,1.8万-3万,北京-朝阳区,3-5年,本科,"['Java', 'C语言', 'Python', '数据结构', '大数据架构', '嵌入式技术', '微服务架构', '平台架构']",航科院(北京)科技发展有限公司,其它 ,100-299人 ,北京,北京
1583,大数据分析师,8千-1.2万,北京-东城区,不限,大专,"['数据分析', '大数据分析', '数据采集', '大数据平台']",北京蓝飞信息科技有限公司,民营 ,20-99人 ,北京,北京
1584,SAS程序员-北京-复宏汉霖,1.4万-2.4万,北京-朝阳区,1-3年,本科,"['SAS', '临床数据分析', 'CRO', '临床试验']",临英汇(上海)医药研究开发有限公司,合资 ,300-499人 ,北京,北京
1585,区块链数据分析师,1.5万-2.5万,北京-海淀区,3-5年,大专,"['数据分析', 'Python']",北京金之盾信息技术有限公司,股份制企业 ,100-299人 ,北京,北京
1586,大气环境数据分析,8千-1.2万,北京-海淀区,1-3年,本科,"['环境工程', '环境科学与工程', '大气环境监测数据分析']",怡孚和融,股份制企业 ,100-299人 ,北京,北京
1587,资深数据分析工程师,2万-4万,北京-海淀区,3-5年,硕士,"['数据分析', '数据挖掘', 'Python', 'MATLAB']",北京海博思创科技股份有限公司,民营 ,500-999人 ,北京,北京
1588,资料分析员,7千-9千,北京-海淀区,不限,大专,['数据分析'],北京埃孚斯科技有限公司,民营 ,100-299人 ,北京,北京
1589,临床数据管理员,1万-2万,北京-朝阳区,不限,本科,"['医学', '英语', 'SAS']",上海亿联体创业孵化器管理有限公司,民营 ,100-299人 ,北京,北京
1590,大数据分析师+周末双休 五险一金,1.2万-1.8万,北京-朝阳区,不限,本科,"['Python', 'SQL', 'Tableau', 'FINEBI', '神策', '驾驶', 'R']",诚迈科技,上市公司 ,1000-9999人 ,北京,北京
1591,生物数据分析,2万-3万,北京-海淀区,不限,硕士,"['Python', '单细胞', '转录组学']",启元实验室,事业单位 ,300-499人 ,北京,北京
1592,研发工程师-大数据方向,1.2万-2万,北京-海淀区,不限,本科,"['数据库', '数据挖掘', '运维', '数据分析', '大数据分析', 'Hadoop', 'Java', '大数据开发']",北京中科特瑞科技有限公司,民营 ,100-299人 ,北京,北京
1593,数据开发工程师,1.2万-1.8万,北京-朝阳区,不限,本科,"['数据采集', '数据建模', '数据分析', '数据清洗', 'Hive', 'ETL', '数据仓库', '数据集市']",中科软科技股份有限公司,股份制企业 ,1000-9999人 ,北京,北京
