职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
产品开发经理,广州华臻源网络科技有限公司,15-30万/年,广州·番禺区,3-4年,本科,民营,150-500人,贸易/进出口,https://jobs.51job.com/guangzhou/139482577.html?s=sou_sou_soulb&t=0_0&req=effaadb47abca44d5bc8eb6bae568acc,https://jobs.51job.com/all/coVTBRPABnBDsEYQdnAmA.html
.NET开发工程师,深圳鹏锐信息技术股份有限公司,1.4-2万,深圳·南山区,3-4年,本科,已上市,150-500人,计算机软件,https://jobs.51job.com/shenzhen/143165436.html?s=sou_sou_soulb&t=0_0&req=d23e39841dedf91eb66fa01c1d44b307,https://jobs.51job.com/all/coA2ddMFMyVGsCb1QyBmM.html
软件开发经理,上海保泽餐饮管理有限公司,1.2-2万,上海,3-4年,本科,民营,150-500人,餐饮业,https://jobs.51job.com/shanghai/148610173.html?s=sou_sou_soulb&t=0_0&req=effaadb47abca44d5bc8eb6bae568acc,https://jobs.51job.com/all/coAmNWOgVkVWgEYQdkUzU.html
.NET中级开发工程师（物流方向）,深圳越海全球供应链股份有限公司,1-1.7万,深圳·南山区,3-4年,大专,民营,1000-5000人,交通/运输/物流,https://jobs.51job.com/shenzhen/148598444.html?s=sou_sou_soulb&t=0_0&req=effaadb47abca44d5bc8eb6bae568acc,https://jobs.51job.com/all/coBmJQPF84Um4Cb1QxVzc.html
.NET高级开发工程师,四川金钥匙信息技术有限公司,8千-1.6万,成都·青羊区,3-4年,大专,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/chengdu/133609687.html?s=sou_sou_soulb&t=0_0&req=effaadb47abca44d5bc8eb6bae568acc,https://jobs.51job.com/all/coUjIFZ1UzVmABY1cyAm8.html
跨境电商产品开发专员（双休）,佛山市顺德金桢富企业管理咨询有限公司,1.3-2万·13薪,深圳·龙岗区,3-4年,大专,民营,50-150人,互联网/电子商务,https://jobs.51job.com/shenzhen/148627359.html?s=sou_sou_soulb&t=0_0&req=effaadb47abca44d5bc8eb6bae568acc,https://jobs.51job.com/all/coVjZQNwBhVmgPYwNmVDM.html
嵌入式软件开发高级工程师,上铁互联信息技术江苏有限公司,1-2万·13薪,上海·静安区,2年,本科,国企,150-500人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/145671806.html?s=sou_sou_soulb&t=0_0&req=effaadb47abca44d5bc8eb6bae568acc,https://jobs.51job.com/all/coBWECbwRuDzBVNQxqAWI.html
Web应用开发,北京隆芯国际贸易有限公司,1-2万,北京,3-4年,本科,外资（欧美）,1000-5000人,计算机软件,https://jobs.51job.com/beijing/147493437.html?s=sou_sou_soulb&t=0_0&req=effaadb47abca44d5bc8eb6bae568acc,https://jobs.51job.com/all/coB2ZXNFEzAjVVM1QxUDU.html
产品开发专员(亚马逊精品),深圳千魅科技有限公司,8千-1.2万·13薪,深圳·龙华区,2年,本科,民营,50-150人,,https://jobs.51job.com/shenzhen/147891230.html?s=sou_sou_soulb&t=0_0&req=effaadb47abca44d5bc8eb6bae568acc,https://jobs.51job.com/all/coVTdRMQBrAjwBYQdmVTg.html
开发投资经理,四川胡众置业集团有限公司,8千-1.5万,成都·武侯区,3-4年,大专,民营,500-1000人,多元化业务集团公司,https://jobs.51job.com/chengdu/147793544.html?s=sou_sou_soulb&t=0_0&req=effaadb47abca44d5bc8eb6bae568acc,https://jobs.51job.com/all/coCW4BbAVvVGtSNFExBmM.html
PC监控软件开发工程师,北京新雷能科技股份有限公司上海分公司,1.5-3万,上海·闵行区,1年,本科,已上市,50-150人,,https://jobs.51job.com/shanghai/143924266.html?s=sou_sou_soulb&t=0_0&req=effaadb47abca44d5bc8eb6bae568acc,https://jobs.51job.com/all/coBWRSNV41AT0EY1c2XTk.html
嵌入式软件开发工程师,建辉塑胶电子实业（深圳）有限公司,1.2-2万,深圳·龙华区,3-4年,本科,外资（非欧美）,1000-5000人,仪器仪表/工业自动化,https://jobs.51job.com/shenzhen/147907877.html?s=sou_sou_soulb&t=0_0&req=effaadb47abca44d5bc8eb6bae568acc,https://jobs.51job.com/all/coCG0HYVIyAT8HYFM4AGY.html
电堆开发工程师,广东泰极动力科技有限公司,7千-1万,佛山·高明区,3-4年,大专,民营,50-150人,新能源,https://jobs.51job.com/guangzhou/144314080.html?s=sou_sou_soulb&t=0_1&req=effaadb47abca44d5bc8eb6bae568acc,https://jobs.51job.com/all/coUTJUM184DzdWOwJlXTs.html
