职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
SSD测试工程师,上海江波龙电子有限公司,1.5-3万·14薪,上海,3-4年,本科,民营,1000-5000人,,https://jobs.51job.com/shanghai/141483166.html?s=sou_sou_soulb&t=0_0&req=657fda01212ef1ad565cc1d1bdce1864,https://jobs.51job.com/all/coAGNSP1Y1BjhUNwdgBWU.html
数据分析师,北京览鸿科技有限公司,8千-1万,北京·顺义区,无需经验,大专,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/baoding/141475258.html?s=sou_sou_soulb&t=0_0&req=657fda01212ef1ad565cc1d1bdce1864,https://jobs.51job.com/all/coAmNQNgBrVWMHa1A0UDA.html
数据开发工程师,上海慧度至明信息科技有限公司,1.5-3万,上海·浦东新区,3-4年,本科,民营,少于50人,,https://jobs.51job.com/shanghai/133914739.html?s=sou_sou_soulb&t=0_0&req=657fda01212ef1ad565cc1d1bdce1864,https://jobs.51job.com/all/coAmFUNV89U2VRM1Y9Uzc.html
算法工程师,上海拜安传感技术有限公司,2-3万,上海·浦东新区,2年,硕士,民营,50-150人,,https://jobs.51job.com/shanghai/142677067.html?s=sou_sou_soulb&t=0_0&req=657fda01212ef1ad565cc1d1bdce1864,https://jobs.51job.com/all/coUjJQMQJoBDsBZARiUDM.html
运维开发-Python方向-驻场,深圳市同和信息技术有限公司,1-1.6万,深圳·南山区,3-4年,本科,民营,1000-5000人,计算机软件,https://jobs.51job.com/shenzhen/145097051.html?s=sou_sou_soulb&t=0_0&req=8ca8bee5ab28af035dcd9dfc2917ec1e,https://jobs.51job.com/all/coVjMFYF89ADtRPFc3BWQ.html
QC问题处理岗（shell和python开发方向）,深圳市联畅信息技术有限公司,1-1.5万·13薪,深圳·福田区,1年,本科,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shenzhen/145656812.html?s=sou_sou_soulb&t=0_0&req=8ca8bee5ab28af035dcd9dfc2917ec1e,https://jobs.51job.com/all/coVDNRMVEwU2VUOAFi.html
Python开发工程师,澜普仕（上海）管理咨询有限公司,8千-1.5万,上海·长宁区,1年,大专,民营,少于50人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shanghai/148505552.html?s=sou_sou_soulb&t=0_0&req=2b9f4680df1aea017dedc453be919709,https://jobs.51job.com/all/coBWQBYFI2DzkEaQdhB2Y.html
Python开发工程师,广州云纳信息科技有限公司,5-6千,广州·番禺区,2年,大专,民营,,计算机软件,https://jobs.51job.com/guangzhou/147285019.html?s=sou_sou_soulb&t=0_0&req=4b6e9d6a6b6f7ee2ad7a16485bf89227,https://jobs.51job.com/all/coBGVRNlEyATgBYwNhAmc.html
大数据工程师,北京中科特瑞科技有限公司,1-1.6万,广州·白云区,2年,硕士,民营,150-500人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/guangzhou/141820952.html?s=sou_sou_soulb&t=0_0&req=1530edf5ba9c6e93fa7fceadf4323357,https://jobs.51job.com/all/coUjdSP1M3DzVSMFM4AWM.html
Python开发工程师,深圳市瑞信信息技术有限公司,8千-1万,深圳·南山区,2年,大专,民营,少于50人,计算机软件,https://jobs.51job.com/shenzhen/144648602.html?s=sou_sou_soulb&t=0_0&req=baa53e6c2768368623c427da4a1e9531,https://jobs.51job.com/all/coBmNcPV45DjdWMAdkVTE.html
Python Developer,乐鑫信息科技（上海）股份有限公司,2-3.5万·13薪,上海·浦东新区,3-4年,本科,已上市,500-1000人,计算机软件,https://jobs.51job.com/shanghai/147505146.html?s=sou_sou_soulb&t=0_0&req=baa53e6c2768368623c427da4a1e9531,https://jobs.51job.com/all/coA2FdPVE0DzZTMQZgUjI.html
Python开发工程师,恩士迅信息科技（中国）有限责任公司,1.5-3万·13薪,广州,3-4年,本科,合资,10000人以上,专业服务(咨询、人力资源、财会),https://jobs.51job.com/guangzhou/148131183.html?s=sou_sou_soulb&t=0_0&req=3ba95d48f59b90a6f5d8b9a456ecbfc7,https://jobs.51job.com/all/coCGgAYl8_BjgDZwVvUzQ.html
