职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
软件设计工程师（半导体设备）,芯恺半导体设备（徐州）有限责任公司,2.2-3.3万·14薪,上海·青浦区,2年,本科,合资,50-150人,,https://jobs.51job.com/shanghai/147117030.html?s=sou_sou_soulb&t=0_0&req=0f26112955d876a098fbfac401e2eca3,https://jobs.51job.com/all/coVjcCZV46VmgGZlcxVzc.html
急聘高薪销售专员c,小行家按揭（广州）信息咨询有限公司,8千-1万,广州·天河区,无需经验,中技/中专,民营,150-500人,金融/投资/证券,https://jobs.51job.com/guangzhou/134761718.html?s=sou_sou_soulb&t=0_0&req=d28eabdc540eb7199a1f1756656b615b,https://jobs.51job.com/all/coBmZTNlI4UmwPaAZgUDE.html
嵌入式C/C++软件工程师,广州致远电子股份有限公司,1.3-2.5万·13薪,广州·天河区,1年,本科,民营,500-1000人,仪器仪表/工业自动化,https://jobs.51job.com/guangzhou/140024095.html?s=sou_sou_soulb&t=0_0&req=8cbdbd339fd256cfc18fa3d43a647839,https://jobs.51job.com/all/coAm1VMl8-Aj8GY1Qy.html
C照司机公司配车有吃住,山东齐音网络科技有限公司,8千-1.4万,深圳·龙岗区,无需经验,,民营,150-500人,互联网/电子商务,https://jobs.51job.com/shenzhen/141775422.html?s=sou_sou_soulb&t=0_0&req=8cbdbd339fd256cfc18fa3d43a647839,https://jobs.51job.com/all/coUTBdOwNlUWsFYwFgVzQ.html
直招c牌司机送果蔬小家电,聘聘车拼拼货（广州）供应链有限公司,8千-1.2万,广州·黄埔区,1年,初中及以下,民营,少于50人,交通/运输/物流,https://jobs.51job.com/foshan/147918068.html?s=sou_sou_soulb&t=0_0&req=8cbdbd339fd256cfc18fa3d43a647839,https://jobs.51job.com/all/coAmNTMwJoVWgPbwxvVjs.html
充电桩嵌入式软件开发工程师,泰盛能源技术有限公司,1.6-2.8万,深圳·宝安区,2年,本科,民营,少于50人,新能源,https://jobs.51job.com/shenzhen/143216151.html?s=sou_sou_soulb&t=0_0&req=65914dc62b76ab7ab86df6d8949b5c47,https://jobs.51job.com/all/coVTYBZlU1Bj8CYARjAWw.html
不押不扣不租C照小货车司机,广州市润达物流有限公司,1.1-1.6万,广州,无需经验,,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/guangzhou/146681897.html?s=sou_sou_soulb&t=0_0&req=1bcfe17bf941d8041497cc359d2a9683,https://jobs.51job.com/all/coVTQFZQRnVmBTMwFrUDA.html
C端产品经理-番茄小说,字节跳动,2-4万,北京,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/126240084.html?s=sou_sou_soulb&t=0_0&req=8cbdbd339fd256cfc18fa3d43a647839,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
C/C++开发工程师(自研GUI平台),广州致远电子股份有限公司,1.3-2.5万·13薪,广州·天河区,2年,本科,民营,500-1000人,仪器仪表/工业自动化,https://jobs.51job.com/guangzhou/124705212.html?s=sou_sou_soulb&t=0_0&req=8cbdbd339fd256cfc18fa3d43a647839,https://jobs.51job.com/all/coAm1VMl8-Aj8GY1Qy.html
急招年后包住C照司机（全深圳）,深圳市厉风行物流有限公司,1.5-1.8万,深圳·福田区,3-4年,,民营,,计算机软件,https://jobs.51job.com/shenzhen/141985800.html?s=sou_sou_soulb&t=0_0&req=8cbdbd339fd256cfc18fa3d43a647839,https://jobs.51job.com/all/coA2JWMQJnADYAbAxvUDE.html
招客运商务C证司机免费住宿,苏州微微行汽车服务有限公司,1-1.5万,上海·闵行区,1年,初中及以下,外资（欧美）,50-150人,计算机软件,https://jobs.51job.com/shanghai/140446612.html?s=sou_sou_soulb&t=0_0&req=fa1ad86adcc338a44d0d5b7c2df1847c,https://jobs.51job.com/all/coBGUBZ1EzDjdTMwZhAGA.html
浦东新区高薪急聘C照货运司机,上海胡楼物流有限公司,1.2-1.8万,上海·浦东新区,无需经验,,民营,50-150人,交通/运输/物流,https://jobs.51job.com/shanghai/142744825.html?s=sou_sou_soulb&t=0_0&req=fa1ad86adcc338a44d0d5b7c2df1847c,https://jobs.51job.com/all/coUzJRNlAxAjsDb1c2VTI.html
c货运司机（新能源）短途城配,上海雷夏物流运输有限公司,1-1.5万,上海·青浦区,无需经验,,民营,少于50人,交通/运输/物流,https://jobs.51job.com/shanghai/148439719.html?s=sou_sou_soulb&t=0_0&req=fa1ad86adcc338a44d0d5b7c2df1847c,https://jobs.51job.com/all/coCWgAZ1U2VmAObANgBWA.html
C/C++软件工程师,深圳市明泰智能技术有限公司,8千-1.6万,深圳·南山区,1年,本科,民营,150-500人,原材料和加工,https://jobs.51job.com/shenzhen/124187613.html?s=sou_sou_soulb&t=0_0&req=e141a0c460eb3662f53158654148b8ec,https://jobs.51job.com/all/coAGQCYQJkBD1SMlYyXT8.html
C证司机,佛山市南海区特奔驰汽车零配件店,0.8-1万,广州·白云区,1年,,民营,,汽车零配件,https://jobs.51job.com/guangzhou/139639427.html?s=sou_sou_soulb&t=0_0&req=2ab80d4c562e9438ba1a1b05786e8c19,https://jobs.51job.com/all/coBmcFYAdlBzkCYA1oUTI.html
C证（货运司机）新能源,上海雷夏物流运输有限公司,1.3-1.8万,上海·青浦区,无需经验,,民营,少于50人,交通/运输/物流,https://jobs.51job.com/shanghai/142104772.html?s=sou_sou_soulb&t=0_0&req=12ea85d263c1ceb5dde3e03dac1ff4a4,https://jobs.51job.com/all/coA2IBZgVmBTNVNwRnB2M.html
直招c牌司机送果蔬小家电,聘聘车拼拼货（广州）供应链有限公司,8千-1.2万,广州·黄埔区,1年,初中及以下,民营,少于50人,交通/运输/物流,https://jobs.51job.com/foshan/147918068.html?s=sou_sou_soulb&t=0_0&req=fa1ad86adcc338a44d0d5b7c2df1847c,https://jobs.51job.com/all/coAmNTMwJoVWgPbwxvVjs.html
C/C++开发工程师（数据库）,上海领刻管理咨询有限公司,7-12万,上海·徐汇区,8-9年,本科,民营,,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shanghai/144074674.html?s=sou_sou_soulb&t=0_0&req=12ea85d263c1ceb5dde3e03dac1ff4a4,https://jobs.51job.com/all/coUzJVMgBkAjRTPwNnAmY.html
C/C++软件研发工程师,成都卓影科技股份有限公司,1.5-2.5万,成都,3-4年,本科,民营,150-500人,通信/电信运营、增值服务,https://jobs.51job.com/chengdu/105633021.html?s=sou_sou_soulb&t=0_0&req=e141a0c460eb3662f53158654148b8ec,https://jobs.51job.com/all/coVjIGawNiVWgOY1M5VTE.html
高薪招聘C证驾驶员,哼哈出行（广州）网约车服务有限公司,1-1.5万,广州·白云区,无需经验,,民营,50-150人,汽车,https://jobs.51job.com/guangzhou/141134514.html?s=sou_sou_soulb&t=0_0&req=e141a0c460eb3662f53158654148b8ec,https://jobs.51job.com/all/coAWFUNVc0DjcFYFMzUjA.html
C开发工程师,京北方信息技术股份有限公司,1-2万,北京·丰台区,2年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/146955841.html?s=sou_sou_soulb&t=0_0&req=e141a0c460eb3662f53158654148b8ec,https://jobs.51job.com/all/coCWwAYQBnBDMAZVM5VzM.html
Java工程师（兼C开发,深圳市雷摩电子有限公司,1.2-1.8万,深圳·宝安区,3-4年,大专,民营,50-150人,新能源,https://jobs.51job.com/shenzhen/141170213.html?s=sou_sou_soulb&t=0_0&req=b7de8c2139abc93f417e6fb183dbfbea,https://jobs.51job.com/all/coBWAGZlYxUWYGZAFgUzQ.html
