,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
278,java 开发,广州黑田贸易有限公司,10000.0,广州·海珠区,3-4年,大专,民营,150-500人,互联网/电子商务,https://jobs.51job.com/guangzhou/148400991.html?s=sou_sou_soulb&t=0_0&req=2670c0637719706f87000cf7e7755627,https://jobs.51job.com/all/coAWRXMABkVmsEZwNhAGA.html
279,java实习生,四川易客玺尔网络科技有限公司,6500.0,成都·高新区,无需经验,大专,民营,50-150人,计算机软件,https://jobs.51job.com/chengdu/141050912.html?s=sou_sou_soulb&t=0_0&req=b87e9636988093ea98bc2a590748a6f1,https://jobs.51job.com/all/coBmYCZFI4UWYDblc1AGY.html
280,Java开发架构师,字节跳动,3750.0,北京,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/137412635.html?s=sou_sou_soulb&t=0_0&req=997c71278c471bc67f2986586d6a084e,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
281,Java开发工程师,上海浩宜信息科技有限公司,15000.0,上海·普陀区,3-4年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/147851745.html?s=sou_sou_soulb&t=0_0&req=4e29776927a4a9fd3a6f8a546724a6a1,https://jobs.51job.com/all/coCW1SPgVgBT0DZg1tBmI.html
282,Java开发工程师,南京国睿信维软件有限公司,12500.0,北京·石景山区,3-4年,本科,国企,500-1000人,计算机软件,https://jobs.51job.com/nanjing/148087624.html?s=sou_sou_soulb&t=0_0&req=c59967e9ed197600b24b533235c8a994,https://jobs.51job.com/all/coAGRWNFY3BjpTMwJmVzM.html
283,Java开发工程师,广州劲源科技发展股份有限公司,9000.0,广州·越秀区,1年,大专,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/guangzhou/118067420.html?s=sou_sou_soulb&t=0_0&req=3f2a3f0c50725a2b6d6f2289ae628ea9,https://jobs.51job.com/all/coVjMBZlU-UmUObQJk.html
284,Java开发工程师,上海豪亿信息科技有限公司,16000.0,上海·浦东新区,5-7年,本科,民营,500-1000人,通信/电信/网络设备,https://jobs.51job.com/shanghai/146200324.html?s=sou_sou_soulb&t=0_0&req=3f2a3f0c50725a2b6d6f2289ae628ea9,https://jobs.51job.com/all/coUTJcMFIzADtUNgZgBWA.html
285,Java开发工程师,点奇互联（北京）科技有限公司,11500.0,北京·海淀区,1年,大专,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/yinchuan/141075996.html?s=sou_sou_soulb&t=0_0&req=58733cd9603276999a47dfd3c6789f86,https://jobs.51job.com/all/coUTBSNFI0AjxUMFA7AmA.html
286,Java开发工程师,上海颜惊泓企业管理有限公司,12000.0,上海·普陀区,3-4年,大专,民营,50-150人,教育/培训/院校,https://jobs.51job.com/shanghai/145667836.html?s=sou_sou_soulb&t=0_0&req=272453eb61345482028563c7463dac90,https://jobs.51job.com/all/coBWQGZwBmDjYCZwNmAWM.html
287,Java开发工程师,上海浩宜信息科技有限公司,15500.0,上海·浦东新区,2年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/145773830.html?s=sou_sou_soulb&t=0_0&req=0a9081a3b2dfb0af8d41ffa96dc43239,https://jobs.51job.com/all/coCW1SPgVgBT0DZg1tBmI.html
