,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
566,众包C端处理,成都小七智通信息技术有限公司,4500.0,成都·青羊区,无需经验,中技/中专,民营,1000-5000人,互联网/电子商务,https://jobs.51job.com/chengdu/139838313.html?s=sou_sou_soulb&t=0_0&req=c9d9113b4284e34232fae88cf3ac21a5,https://jobs.51job.com/all/coUzJRNFQ3DzRTMVMzAWA.html
567,软件工程师,深圳开阳电子股份有限公司,15000.0,深圳·南山区,3-4年,本科,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/126299582.html?s=sou_sou_soulb&t=0_0&req=44ca58556d71fef6a8449ba4f3b726d0,https://jobs.51job.com/all/coBWdRN144DzBSPwdgUDw.html
568,软件工程师C、C++ （图形处理）,恒勃控股股份有限公司,15000.0,深圳·宝安区,1年,大专,民营,500-1000人,机械/设备/重工,https://jobs.51job.com/shenzhen/147721742.html?s=sou_sou_soulb&t=0_0&req=d56bf483b96eed08c6190907ecb028ea,https://jobs.51job.com/all/coBmNWNQBmADxSMABmVTQ.html
569,Instrumentation and Control (I&C) Engineer,万宝盛华企业管理咨询（上海）有限公司成都分公司,3000.0,上海·长宁区,10年以上,本科,外资（欧美）,,中介服务,https://jobs.51job.com/shanghai/147434383.html?s=sou_sou_soulb&t=0_0&req=d56bf483b96eed08c6190907ecb028ea,https://jobs.51job.com/all/coVDRUOARlVWIOaQVmVTM.html
570,C/C++开发测试,深圳市同舟技术服务有限公司,12000.0,深圳·宝安区,3-4年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shenzhen/144469261.html?s=sou_sou_soulb&t=0_0&req=51114fdc85498766b42bdc2b62122feb,https://jobs.51job.com/all/coBmVVNQBlAjkCZgVlVDg.html
571,C/C++开发工程师,上海尔乐美讯文化传播有限公司,8600.0,上海·普陀区,3-4年,本科,民营,50-150人,影视/媒体/艺术/文化传播,https://jobs.51job.com/shanghai/146031278.html?s=sou_sou_soulb&t=0_0&req=51114fdc85498766b42bdc2b62122feb,https://jobs.51job.com/all/coVjRRMVE6VmkFaAdnAGE.html
572,Linux C研发工程师,北京凝思软件股份有限公司四川分公司,8750.0,成都·高新区,5-7年,本科,民营,150-500人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/chengdu/118913363.html?s=sou_sou_soulb&t=0_0&req=81dac131877460174d4c23aa60451bf2,https://jobs.51job.com/all/coVDdTMFc2U2lRNABhXD8.html
573,Senior Service Engineer 高级服务执行工程师,西门子(中国)有限公司 SLC (A&C),17500.0,上海,5-7年,本科,外资（欧美）,,金融/投资/证券,https://jobs.51job.com/shanghai/147810286.html?s=sou_sou_soulb&t=0_0&req=2bc6e295a9ee04165c78c8d82ad5093c,https://jobs.51job.com/all/coBWFUNQdkBDJVMQBnVDA.html
574,C++开发工程师,BME柏美迪康,25000.0,成都,3-4年,本科,已上市,150-500人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/chengdu/138965057.html?s=sou_sou_soulb&t=0_0&req=0cefffa46bb86e8e94000b688a5c94d1,https://jobs.51job.com/all/coAGQGZl49Az0OaQxmUjA.html
575,资深C/C++量化开发工程师,上海旭诺资产管理有限公司,3500.0,上海·浦东新区,3-4年,硕士,民营,少于50人,金融/投资/证券,https://jobs.51job.com/shanghai/136194372.html?s=sou_sou_soulb&t=0_0&req=ab38563309633d1a20ff28c81068f1e2,https://jobs.51job.com/all/coUTFTNlMwUmgPYwNoUjM.html
