序号,职位,公司名称,公司地点,公司性质,薪资,学历要求,工作经验,公司规模,公司福利,发布时间
352,Java开发工程师,成都奥博克信息系统有限公司,成都,民营公司,0.8-1万/月,本科,2年经验,50-150人,五险一金 餐饮补贴 绩效奖金,11月21日
353,Java开发工程师（双休+非外包）,电讯盈科企业方案,广州,外资（非欧美）,0.9-1.3万/月,本科,2年经验,10000人以上,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 弹性工作 定期体检,11月21日
354,JAVA开发工程师,北京优飞软件科技有限公司,北京-顺义区,民营公司,1.5-2万/月,大专,3-4年经验,少于50人,五险一金 绩效奖金 专业培训 定期体检 12天带薪年假 定期团建 过年放假12天,11月21日
355,Java开发工程师,洛阳昇凯软件科技有限公司,洛阳,民营公司,4-8千/月,大专,3-4年经验,少于50人,,11月21日
356,JAVA后端开发岗,浙江省北大信息技术高等研究院,杭州,民营公司,1.5-2万/月,硕士,无需经验,,,11月21日
357,Java开发工程师,深圳中科软科技信息系统有限公司,深圳-罗湖区,国企,1.1-1.4万/月,大专,2年经验,5000-10000人,五险一金 员工旅游 年终奖金 补充医疗保险,11月21日
358,Java开发工程师,山东用新电子科技有限公司,济南-天桥区,民营公司,1-1.5万/月,本科,1年经验,少于50人,包吃 五险 弹性工作 带薪年假 节日福利 绩效奖金 交通补贴 通讯补贴 专业培训 餐饮补贴,11月21日
359,JAVA工程师,河南省通信工程局有限责任公司,郑州-金水区,民营公司,0.8-1.2万/月,本科,3-4年经验,10000人以上,周末双休 节日福利 五险一金,11月21日
360,Java开发工程师,环保桥（上海）环境技术有限公司,上海-浦东新区,民营公司,1.5-2万/月,本科,3-4年经验,少于50人,五险一金 补充医疗保险 员工旅游 交通补贴 弹性工作 年终奖金 定期体检 周末双休 节日福利,11月21日
361,JAVA开发助理（可应届）,德玛（云南）科技有限公司,昆明-官渡区,民营公司,0.8-1万/月,高中,无需经验,少于50人,五险一金 年终奖金 弹性工作 员工旅游,11月21日
362,Java开发工程师,武汉市创平科技有限公司,武汉-洪山区,民营公司,0.9-1.3万/月,本科,3-4年经验,50-150人,五险一金 年底双薪 绩效奖金 定期体检 节日福利 全勤奖 定期团建 带薪年假,11月21日
363,Java高级开发工程师,武汉理盈信息科技有限公司,武汉-东湖新技术产业开发区,民营公司,1-1.5万/月,本科,5-7年经验,少于50人,,11月21日
364,Java初级开发工程师（可适应出差）,大连盈灿科技股份有限公司,大连-高新园区,民营公司,6-8千/月,本科,2年经验,少于50人,五险一金 交通补贴 员工旅游 年终奖金,11月21日
365,Java中高级开发工程师（研发部门）,武汉普罗格集成科技有限公司,武汉-硚口区,民营公司,1.2-2万/月,本科,3-4年经验,500-1000人,五险一金 员工旅游 交通补贴 绩效奖金 年终奖金 专业培训 餐饮补贴 定期体检 通讯补贴,11月21日
366,Java开发工程师,上海用正医药科技有限公司,上海-徐汇区,民营公司,2-3万/月,大专,3-4年经验,150-500人,周末双休 带薪年假 五险一金 节日福利 交通补贴 餐饮补贴 通讯补贴 年终奖金 定期体检,11月21日
367,Java开发工程师,广州市博颖信息科技有限公司,广州,民营公司,15-20万/年,大专,3-4年经验,50-150人,社保 周末双休 带薪年假 绩效奖金 年终奖金,11月21日
368,java后端开发工程师,南京盛航海运股份有限公司,南京-栖霞区,上市公司,1-1.5万/月,本科,3-4年经验,150-500人,做五休二 周末双休 带薪年假 五险一金 节日福利 通讯补贴,11月21日
369,Java高级开发工程师,飞鹤乳业集团上海电商事业部,上海-杨浦区,民营公司,1.5-2万/月,本科,3-4年经验,5000-10000人,五险一金 补充公积金 员工旅游 绩效奖金 年终奖金 弹性工作 交通补贴 餐饮补贴 定期体检 带薪年假,11月21日
370,java软件开发工程师-北京,大连铭信科技发展有限公司,北京-东城区,民营公司,1.2-2.4万/月,本科,3-4年经验,50-150人,五险一金 绩效奖金 年终奖金,11月21日
371,Java软件开发,浙江天正信息科技有限公司,江门-蓬江区,国企,0.8-1万/月,本科,1年经验,50-150人,五险一金 专业培训 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检,11月21日
372,Java中级开发工程师,浙江陀曼控股集团有限公司,杭州-滨江区,民营公司,1.3-2.2万/月,本科,5-7年经验,150-500人,五险一金 年终奖金 绩效奖金 补充医疗保险 定期体检 通讯补贴 员工旅游 餐饮补贴 开车油贴,11月21日
373,Java开发工程师,浙江省国土勘测规划有限公司,杭州-余杭区,事业单位,1.8-2.5万/月,硕士,无需经验,150-500人,五险一金 员工旅游 餐饮补贴 专业培训 定期体检 年终奖金,11月21日
374,java开发工程师（武汉）,深圳市腾讯计算机系统有限公司,武汉,民营公司,3-4万/月,本科,5-7年经验,,,11月21日
375,Java开发工程师,广东货多多物流科技股份有限公司,广州-黄埔区,民营公司,0.9-1.5万/月,本科,3-4年经验,少于50人,五险一金 绩效奖金 带薪年假 节日福利 大小周,11月21日
376,Java开发工程师,无锡高运金融信息服务有限公司,无锡,合资,1-2万/月,本科,3-4年经验,少于50人,五险一金 绩效奖金 年终奖金 餐饮补贴 员工旅游 定期体检 节日福利 高温补贴,11月21日
377,JAVA软件工程师,上海红瓦信息科技有限公司,上海-宝山区,民营公司,1-1.5万/月,大专,3-4年经验,少于50人,绩效奖金 年终奖金 弹性工作 员工旅游 下午茶 每月团建一次 专业培训 做五休二,11月21日
378,Java开发工程师,云驼（武汉）网络科技有限公司,武汉-硚口区,民营公司,0.9-1.5万/月,本科,3-4年经验,50-150人,五险 餐饮补贴 节日福利 团建活动,11月21日
379,Java开发工程师,博瑞利安信息科技（上海）有限公司,南京-江宁区,民营公司,0.6-1万/月,大专,1年经验,少于50人,,11月21日
380,Java开发工程师,深圳市迈科龙电子有限公司,深圳,民营公司,1.5-2万/月,本科,2年经验,,,11月21日
381,JAVA开发工程师,筑泰（深圳）科创控股有限公司,深圳,民营公司,1.5-2万/月,本科,2年经验,,,11月21日
382,java开发工程师  自研 双休,深圳信通支付科技有限公司,深圳,民营公司,1.5-2.5万/月,中技,3-4年经验,,,11月21日
383,JAVA开发工程师（微服务方向）,深圳市中视典数字科技有限公司,深圳,民营公司,1-1.5万/月,本科,2年经验,,,11月21日
384,Java软件开发工程师（后端）,上海倍通医药科技咨询有限公司,大连-沙河口区,民营公司,1.2-2万/月,本科,2年经验,1000-5000人,五险一金 员工旅游 专业培训 绩效奖金 弹性工作 定期体检,11月21日
385,高级Java开发工程师,上海东尚信息科技股份有限公司,上海,民营公司,1.5-2万/月,本科,3-4年经验,,,11月21日
386,Java软件开发工程师,深圳市弘长科技有限公司,深圳,民营公司,6-8千/月,本科,无需经验,,,11月21日
387,Java开发工程师,展融（上海）网络服务有限公司,上海-浦东新区,民营公司,1-1.5万/月,本科,1年经验,少于50人,双休 享法定假日休 五险一金 股权激励,11月21日
388,JAVA开发工程师,南京维科通信有限公司,南京-栖霞区,民营公司,1.2-1.8万/月,本科,3-4年经验,少于50人,五险一金 年底双薪 年终奖金 绩效奖金 项目奖金 周末双休 交通补贴 餐饮补贴 通讯补贴,11月21日
389,Java开发工程师,上海博愚科技有限公司,成都-武侯区,民营公司,0.6-1.2万/月,本科,3-4年经验,50-150人,五险一金 员工旅游 绩效奖金,11月21日
390,Java开发工程师+周末双休/13薪,深圳市乐有家控股集团有限公司,长沙-岳麓区,民营公司,6-8千/月,大专,2年经验,,五险一金 餐饮补贴 交通补贴 弹性工作 专业培训 绩效奖金 节日福利 月休四天,11月21日
391,Java开发工程师,武汉字节穿梭科技有限公司,武汉-江夏区,创业公司,0.8-1.1万/月,大专,3-4年经验,少于50人,绩效奖金 五险一金 不定时团建 过节福利,11月21日
392,Java项目经理,淘礼礼贸易（深圳）有限公司,深圳-南山区,民营公司,1.6-2.2万/月,本科,3-4年经验,50-150人,弹性工作 五险一金 节日福利 加班补贴,11月21日
393,Java开发工程师,云南南天电子信息产业股份有限公司,昆明-盘龙区,国企,0.6-1.2万/月,本科,2年经验,1000-5000人,五险一金 定期体检 年终奖金 绩效奖金 专业培训 免费班车,11月21日
394,SYY301-Java研发工程师（成都）,长园深瑞继保自动化有限公司,成都,民营公司,1-2万/月,本科,3-4年经验,,,11月21日
