序号,职位,公司名称,公司地点,公司性质,薪资,学历要求,工作经验,公司规模,公司福利,发布时间
158,Java开发工程师,江苏东方国信工业互联网有限公司,无锡-锡山区,民营公司,0.8-1.4万/月,本科,2年经验,少于50人,五险一金 周末双休 餐饮补贴 绩效奖金 年终奖金 定期体检 13薪,11月21日
159,Java开发工程师,深圳瑞莱保核能技术发展有限公司,连云港,民营公司,0.6-1万/月,大专,2年经验,500-1000人,五险一金 交通补贴 餐饮补贴 年终奖金 定期体检 员工旅游 周末双休 绩效奖金 年休假,11月21日
160,JAVA工程师,杭州百图科技有限公司,杭州-西湖区,民营公司,0.8-1.2万/月,大专,2年经验,少于50人,五险一金 年终奖金 周末双休 生日福利 团建 下午茶,11月21日
161,Java开发工程师,江西科晨洪兴信息技术有限公司,南昌-青山湖区,国企,0.6-1.2万/月,大专,2年经验,150-500人,,11月21日
162,高级Java研发工程师,江苏汇蓝教育投资有限公司,无锡,外资（欧美）,1.2-1.8万/月,本科,3-4年经验,,五险一金 交通补贴 餐饮补贴 专业培训 通讯补贴 绩效奖金 年终奖金 补充医疗保险,11月21日
163,java高级开发（银行）,维恩贝特科技有限公司,深圳-福田区,民营公司,1-1.5万/月,本科,2年经验,500-1000人,五险一金 定期体检 年终奖金 员工旅游,11月21日
164,java开发工程师,杭州鑫豪网络科技有限公司,杭州-余杭区,民营公司,1.5-2万/月,本科,无需经验,少于50人,专业培训 节日福利 全勤奖 不定期下午茶 不定期聚餐,11月21日
165,Java资深开发工程师,深圳市题王科技有限公司,深圳-福田区,民营公司,1.5-2.5万/月,大专,3-4年经验,少于50人,五险一金 年终奖金 定期体检 绩效奖金,11月21日
166,Java高级开发工程师,沈阳侃侃科技有限公司,沈阳-于洪区,民营公司,5-8千/月,大专,5-7年经验,少于50人,五险 团队聚餐 员工旅游,11月21日
167,高级java工程师（技术经理）,亚信科技OBC,重庆-渝北区,民营公司,1.8-2.9万/月,本科,5-7年经验,10000人以上,,11月21日
168,高级java工程师（技术经理）,亚信在线BIU,北京-海淀区,合资,2-2.9万/月,本科,5-7年经验,10000人以上,周末双休 五险一金,11月21日
169,JAVA架构师,江苏南大环保科技有限公司,南京,国企,1-1.5万/月,本科,3-4年经验,150-500人,,11月21日
170,Java高级开发工程师,深圳市维度数据科技股份有限公司,深圳-罗湖区,上市公司,1.8-2.8万/月,本科,3-4年经验,150-500人,五险一金 节日福利 带薪年假 员工旅游 定期体检 年底双薪 项目奖金 婚庆礼金 生育礼金 员工持股计划,11月21日
171,Java开发工程师,重庆惠科金渝光电科技有限公司,重庆-巴南区,民营公司,0.6-1.2万/月,大专,2年经验,1000-5000人,五险一金 员工旅游 免费班车 专业培训 绩效奖金 年终奖金 包吃包住,11月21日
172,java初级开发工程师,深圳市中深科技管理有限公司,深圳-罗湖区,民营公司,1-1.8万/月,大专,3-4年经验,,五险一金 专业培训,11月21日
173,Java架构师,上海时觉物联网科技有限公司,上海-黄浦区,民营公司,2-3.5万/月,本科,5-7年经验,少于50人,五险一金 员工旅游 绩效奖金,11月21日
174,Java开发工程师,中科创达软件股份有限公司,深圳-福田区,上市公司,1.5-2万/月,本科,5-7年经验,5000-10000人,五险一金 补充医疗保险 周末双休 带薪年假 定期体检 绩效奖金 节日福利,11月21日
175,Java开发工程师,深圳市德科信息技术有限公司,深圳-宝安区,合资,1.8-2.2万/月,本科,3-4年经验,1000-5000人,五险一金 年终奖金 节日福利 绩效奖金,11月21日
176,Java后端开发工程师,眉山环天智慧科技有限公司,眉山,国企,2-2.5万/月,本科,3-4年经验,150-500人,五险一金 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 节日福利 团队建设 工作氛围好 发展前景,11月21日
177,Java中级开发工程师,北京开科唯识技术股份有限公司,柳州-城中区,合资,1.1-1.8万/月,大专,2年经验,1000-5000人,五险一金 弹性工作 股票期权 年终奖金 绩效奖金 定期体检 交通补贴 补充公积金 餐饮补贴,11月21日
178,Java开发（成都）,北京同达合创信息技术有限公司,成都-高新区,创业公司,0.8-1.5万/月,大专,2年经验,50-150人,五险一金 出国机会 出差补贴 餐饮补贴,11月21日
179,Java开发经理,深圳市墨者安全科技有限公司,深圳-南山区,民营公司,3-4万/月,本科,10年以上经验,少于50人,五险一金 员工旅游 年终奖金 弹性工作 定期体检 绩效奖金,11月21日
180,JAVA开发工程师(J10065),上海派拉软件股份有限公司,上海-浦东新区,民营公司,1-1.5万/月,大专,1年经验,500-1000人,五险一金 补充医疗保险 员工旅游 专业培训 餐饮补贴 年终奖金 弹性工作 定期体检,11月21日
181,Java开发工程师,上海同是科技股份有限公司,上海-闵行区,民营公司,2-2.5万/月,本科,3-4年经验,150-500人,五险一金 交通补贴 餐饮补贴 通讯补贴 年终奖金,11月21日
182,Java开发工程师,深圳中顺易金融服务有限公司,上海-浦东新区,合资,2-3万/月,大专,3-4年经验,150-500人,餐饮补贴 通讯补贴 弹性工作 定期体检 五险一金,11月21日
183,Java高级开发工程师,安徽金亚太智能网络技术有限公司,合肥-高新区,民营公司,1.5-2.3万/月,大专,3-4年经验,150-500人,,11月21日
184,JAVA工程师,苏州万仕恒人力资源服务有限公司,合肥-蜀山区,合资,1-1.8万/月,大专,3-4年经验,150-500人,绩效奖金 节日福利 专业培训 通讯补贴 五险一金 定期体检 弹性工作 年终奖金 员工旅游 股票期权,11月21日
185,Java开发工程师,江苏米途信息科技有限公司,南京-雨花台区,民营公司,1-1.5万/月,大专,2年经验,少于50人,,11月21日
186,JAVA开发工程师（互联网+教育行业）,广东德诚科教有限公司,广州,民营公司,5-7千/月,本科,1年经验,150-500人,股票期权 拟上市公司 互联网教育 年终奖金 定期体检 带薪假期 职称技能奖励 学历提升奖励 员工父母旅游 社会保险,11月21日
187,中级Java工程师,深圳市联之有物智能科技有限公司,深圳-福田区,民营公司,1.5-2万/月,本科,3-4年经验,,,11月21日
188,初级Java工程师,长沙哈希科技有限公司,长沙-岳麓区,民营公司,6-8千/月,本科,1年经验,少于50人,,11月21日
189,Java开发工程师,深圳市同和信息技术有限公司,深圳-南山区,民营公司,1-1.9万/月,大专,3-4年经验,500-1000人,,11月21日
190,Java开发工程师,江苏汉云智数科技有限公司,苏州,外资（非欧美）,6-8千/月,大专,无需经验,50-150人,五险一金 员工旅游 绩效奖金 年终奖金 餐饮补贴,11月21日
191,Java开发工程师,北京清环智慧水务科技有限公司,武汉-洪山区,民营公司,1-2万/月,本科,3-4年经验,50-150人,五险一金 员工旅游 年终奖金 定期体检 通讯补贴,11月21日
192,Java初级开发工程师,深圳市华夏龙供应链管理有限公司,深圳-福田区,民营公司,0.7-1万/月,大专,1年经验,150-500人,绩效奖金 包住宿 节日福利 专业培训,11月21日
193,中高级java研发工程师,论客科技（广州）有限公司,广州-番禺区,外资（非欧美）,1.5-2万/月,本科,5-7年经验,150-500人,专业培训 朝九晚六 实习证明 定期下午茶,11月21日
194,JAVA开发工程师,富德生命人寿保险股份有限公司,深圳-龙岗区,民营公司,1-1.5万/月,本科,3-4年经验,1000-5000人,五险一金 员工旅游 年终奖金 绩效奖金 周末双休 做五休二,11月21日
195,Java开发工程师,天津市赛鸣科技有限公司,天津-西青区,民营公司,1-1.5万/月,本科,5-7年经验,,,11月21日
196,Java开发工程师,易商惠众（北京）科技有限公司,北京-朝阳区,民营公司,1.8-2.8万/月,本科,3-4年经验,少于50人,五险一金 周末双休 节日福利 生日福利,11月21日
197,Java高级开发工程师,陕西正华信息技术有限公司,西安-未央区,民营公司,6-8千/月,本科,3-4年经验,少于50人,,11月21日
198,Java开发工程师,北京禧云信息科技有限公司,秦皇岛,民营公司,0.8-1万/月,大专,3-4年经验,150-500人,五险一金 通讯补贴 年终奖金 绩效奖金,11月21日
199,Java开发工程师,东莞高伟光学电子有限公司,东莞,外资（非欧美）,0.6-1.2万/月,大专,1年经验,5000-10000人,免费班车 年终奖金 专业培训 定期体检 包三餐 包住宿 五险一金,11月21日
200,Java开发工程师,上海润和信息技术服务有限公司,长沙,上市公司,1.1-1.6万/月,本科,3-4年经验,1000-5000人,五险一金 补充医疗保险 年终奖金 定期体检 绩效奖金 通讯补贴,11月21日
201,Java开发工程师,武汉光庭信息技术股份有限公司,重庆,民营公司,1-1.5万/月,大专,5-7年经验,1000-5000人,五险一金 专业培训 出国机会 绩效奖金 年终奖金 股票期权 定期体检 弹性工作,11月21日
202,java高级工程师,兰州七度数聚技术有限公司,兰州-安宁区,民营公司,6-8千/月,本科,3-4年经验,少于50人,,11月21日
203,Java开发工程师——医疗,朗森特科技有限公司,扬州-邗江区,民营公司,1.2-2.2万/月,大专,5-7年经验,150-500人,,11月21日
204,Java开发资深工程师,江苏瑞丰信息技术股份有限公司,南京-建邺区,民营公司,1.3-1.8万/月,大专,5-7年经验,150-500人,五险一金 节日福利 专业培训 绩效奖金 周末双休,11月21日
205,后端Java开发工程师-成方云,苏州高铁新城人力资源管理有限公司,苏州-相城区,国企,1.1-2万/月,本科,1年经验,50-150人,,11月21日
206,Java开发工程师（长沙）,北京数字政通科技股份有限公司武汉分公司,长沙,上市公司,1-1.5万/月,本科,2年经验,1000-5000人,弹性工作 绩效奖金,11月21日
207,Java开发工程师（青岛）,北斗天地股份有限公司,青岛-黄岛区,国企,0.8-1.5万/月,本科,3-4年经验,150-500人,五险一金 交通补贴 餐饮补贴 定期体检 绩效奖金,11月21日
208,500强企业java开发,同方鼎欣科技股份有限公司,北京-朝阳区,上市公司,1.5-2万/月,本科,5-7年经验,1000-5000人,五险一金 补充医疗保险 年终奖金 定期体检,11月21日
209,Java开发工程师,上海易立德信息技术股份有限公司,上海-浦东新区,民营公司,2-2.5万/月,大专,3-4年经验,1000-5000人,年终奖金 五险一金 绩效奖金,11月21日
210,Java开发工程师,辽宁龙慧网络科技有限公司,丹东,民营公司,6-8千/月,大专,3-4年经验,少于50人,,11月21日
211,Java开发实习生,浙江蕙康科技有限公司,宁波-高新区,民营公司,3-4.5千/月,本科,无需经验,少于50人,周末双休 五险一金 弹性工作 带薪年假 绩效奖金 节日福利 餐饮补贴 加班补贴 高温补贴 14薪,11月21日
212,java开发工程师,福建省昊彤网络科技有限公司,福州-鼓楼区,民营公司,4.5-6千/月,大专,1年经验,少于50人,五险一金 年终奖金,11月21日
213,java开发工程师（偏全栈）,博彦科技股份有限公司,北京-海淀区,外资（欧美）,1.3-1.8万/月,本科,2年经验,10000人以上,,11月21日
214,JAVA开发组长,上海陆浦投资管理集团有限公司,上海-浦东新区,合资,2.5-3.5万/月,本科,5-7年经验,500-1000人,五险一金 专业培训 绩效奖金 年终奖金 定期体检,11月21日
215,Java开发工程师,深圳市皇家金盾智能科技有限公司,深圳-龙岗区,民营公司,1.5-2万/月,本科,2年经验,150-500人,绩效奖金 股票期权 通讯补贴 员工旅游 定期体检 免费班车,11月21日
216,JAVA开发工程师,北京联龙博通电子商务技术有限公司,杭州-滨江区,民营公司,1.1-1.8万/月,本科,2年经验,1000-5000人,五险一金 餐饮补贴 通讯补贴 绩效奖金 年终奖金 交通补贴 员工旅游 定期体检 专业培训,11月21日
217,Java高级开发工程师,大连浮点科技有限公司,上海-杨浦区,民营公司,1-2万/月,大专,3-4年经验,150-500人,,11月21日
218,中高级JAVA开发工程师（甲方+非外派）,上海创蓝云智信息科技股份有限公司,上海-松江区,民营公司,2-3.5万/月,本科,3-4年经验,500-1000人,五险一金 员工旅游 定期体检 住房补贴 绩效奖金 专业培训 年终奖金,11月21日
219,Java架构师,北京博雅软通信息技术有限公司,北京-海淀区,民营公司,2.5-3.5万/月,本科,5-7年经验,少于50人,五险一金 绩效奖金 年终奖金 弹性工作 免费班车,11月21日
220,Java高级开发工程师,上海艾麒信息科技股份有限公司,上海-徐汇区,民营公司,1.8-2.5万/月,本科,5-7年经验,150-500人,五险一金 补充医疗保险 员工旅游 餐饮补贴 弹性工作 定期体检 绩效奖金 年终奖金,11月21日
221,Java开发工程师,上海近屿智能科技有限公司,上海-徐汇区,民营公司,1.2-2万/月,本科,2年经验,150-500人,弹性工作 带薪年假 绩效奖金 年底双薪,11月21日
222,中级Java工程师,上海双麦信息技术有限公司,上海-宝山区,民营公司,1.2-2万/月,大专,5-7年经验,50-150人,,11月21日
223,Java开发工程师,杭州物数化科技有限公司,杭州-西湖区,民营公司,2-2.5万/月,本科,3-4年经验,少于50人,五险一金 交通补贴 餐饮补贴 通讯补贴 专业培训 弹性工作,11月21日
224,Java开发工程师,杭州欣悦互联科技有限公司,苏州-虎丘区,民营公司,1.5-2万/月,大专,3-4年经验,50-150人,五险一金 年终奖金 通讯补贴 专业培训 双休,11月21日
225,Java高级开发工程师/java开发工程师（工程事业部）,中国铁道科学研究院电子计算技术研究所,北京-海淀区,国企,1-2万/月,本科,3-4年经验,500-1000人,五险一金 补充医疗保险 免费班车 餐饮补贴 定期体检 年终奖金 绩效奖金,11月21日
226,Java初级开发工程师,上海燕昌信息技术有限公司,上海-闵行区,民营公司,0.8-1.5万/月,大专,1年经验,少于50人,五险一金 专业培训 年终奖金 弹性工作,11月21日
227,java开发工程师（郑东新区）,华付云技术（深圳）有限公司,郑州-郑东新区,民营公司,1.1-1.6万/月,大专,3-4年经验,1000-5000人,,11月21日
