职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
产品工程师（PE）,新港海岸（北京）科技有限公司,1.5-3万·14薪,北京·朝阳区,3-4年,本科,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/beijing/148539444.html?s=sou_sou_soulb&t=0_0&req=55fb0504648fc40ce8357c2d04360439,https://jobs.51job.com/all/coUzZSNVAyBjAHYABmUDY.html
销售经理,皇家空调设备工程（广东）有限公司北京分公司,6千-1.2万,北京·朝阳区,5-7年,大专,民营,,贸易/进出口,https://jobs.51job.com/beijing/145771697.html?s=sou_sou_soulb&t=0_0&req=ece72c1411ed1d53e4282837de577c5d,https://jobs.51job.com/all/coBWQFY144VmoGYAVjXDs.html
销售主管--北京鸟巢文化传媒有限责任公司,国家体育场有限责任公司,4-8千,北京,3-4年,本科,国企,50-150人,娱乐/休闲/体育,https://jobs.51job.com/beijing/145238900.html?s=sou_sou_soulb&t=0_0&req=77b8a53816c784ee626006cf58ac6858,https://jobs.51job.com/all/coVTFRNl47VmoOblM0UzI.html
体系仿真推演设计师,北京中科航天人才服务有限公司,1.5-3万,北京,无需经验,硕士,国企,10000人以上,专业服务(咨询、人力资源、财会),https://jobs.51job.com/beijing/148566015.html?s=sou_sou_soulb&t=0_0&req=5343e145c770e2af662dbc6b37b13a38,https://jobs.51job.com/all/coA2BQN1M0AzoAYARiAmU.html
司机-北京,广州市好来运速递服务有限公司,5-7千,北京,2年,,民营,500-1000人,生活服务,https://jobs.51job.com/beijing/147690817.html?s=sou_sou_soulb&t=0_0&req=4faa46f49441d7b49c0925c0fe0e1b48,https://jobs.51job.com/all/coAGNTMFc0DjgHagFgXDk.html
家具销售大钟寺店,北京巴宝莉家具有限公司,1-1.5万,北京·海淀区,1年,高中,已上市,150-500人,家具/家电/玩具/礼品,https://jobs.51job.com/beijing/134429266.html?s=sou_sou_soulb&t=0_0&req=746540aba823e66d66833ac44f45c9be,https://jobs.51job.com/all/coVTBcMQdnVmtTPgdjVjI.html
医生经纪人（北京）,浙江云开亚美医药科技股份有限公司,1-1.5万,北京,1年,大专,合资,150-500人,医疗/护理/卫生,https://jobs.51job.com/beijing/146263164.html?s=sou_sou_soulb&t=0_0&req=dc1c0dfa67813f7b47b31cff2e78b9c9,https://jobs.51job.com/all/coBmNdOVEyAD4PYgNlUz8.html
Pangle算法工程师-Ranking（北京/上海/杭州）,字节跳动,4-8万,北京,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/148542761.html?s=sou_sou_soulb&t=0_0&req=0bddb5cfcbc4ddadf2d62add92ae01f1,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
直招商务司机待遇优厚,北京不负芳华科技有限公司,9千-1.5万,北京·顺义区,1年,,民营,,交通/运输/物流,https://jobs.51job.com/beijing/147336573.html?s=sou_sou_soulb&t=0_0&req=46561aaff485bb9f8a222e0a1565c621,https://jobs.51job.com/all/coB2ZQMFAzBT1SMVY8AWM.html
医学信息沟通专员-北京(J12434),复星凯特生物科技有限公司,1.5-3万,北京,3-4年,大专,合资,150-500人,,https://jobs.51job.com/beijing/147577876.html?s=sou_sou_soulb&t=0_0&req=5c75d43477207166fc3d2afbab12c84f,https://jobs.51job.com/all/coUTNcPFI3U2gPbwZtAm8.html
