,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
800,（Sr）Application Support Engineer-MES (MJ000842),Tesla特斯拉汽车,12000.0,上海,5-7年,本科,外资（欧美）,10000人以上,汽车,https://jobs.51job.com/shanghai/146859477.html?s=sou_sou_soulb&t=0_0&req=116fe9533e4c3b98c251bb83105e16d8,https://jobs.51job.com/all/coUjcCZ1AzBjlVMFA2AGM.html
801,游戏golang主程,久游网,3500.0,上海·静安区,2年,本科,民营,150-500人,,https://jobs.51job.com/shanghai/145073212.html?s=sou_sou_soulb&t=0_0&req=fdecdf207cf977b251e521ef83b19393,https://jobs.51job.com/all/coA2BUNwJgVGkEaARk.html
802,"Sr. Exe, Digital Marketing, Social & Media",彪马(上海)商贸有限公司（Puma China Limted）,11000.0,上海·黄浦区,3-4年,本科,外资（欧美）,1000-5000人,批发/零售,https://jobs.51job.com/shanghai/147541762.html?s=sou_sou_soulb&t=0_0&req=41e1350b29da06a93257762459375938,https://jobs.51job.com/all/coA2dRNlI3DzMFZFQyVjM.html
803,安全测试工程师,昆仑太科（北京）技术股份有限公司,13500.0,北京·海淀区,3-4年,本科,国企,150-500人,电子技术/半导体/集成电路,https://jobs.51job.com/beijing/128523106.html?s=sou_sou_soulb&t=0_0&req=0e873838777a639c32e5cc5134d0af33,https://jobs.51job.com/all/coUzZTNlU3BzgDZgJlAmQ.html
804,后台工程师,深圳市华宇讯科技有限公司,16500.0,深圳·南山区,3-4年,本科,民营,500-1000人,,https://jobs.51job.com/shenzhen/140473381.html?s=sou_sou_soulb&t=0_0&req=5966e1db6b4ad8635ef1a3db2d312a6f,https://jobs.51job.com/all/coB2NXN1czU2lWNwZgXD4.html
805,服务端研发工程师-用户增长,字节跳动,12000.0,北京,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/142530179.html?s=sou_sou_soulb&t=0_0&req=e5f11c804a79ccf09ea3659214fc556e,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
806,PHP开发工程师,上海游盾网络科技有限公司,17500.0,上海·普陀区,3-4年,本科,民营,少于50人,通信/电信/网络设备,https://jobs.51job.com/shanghai/136119227.html?s=sou_sou_soulb&t=0_0&req=75a812689c3ded2bd381945aca09052d,https://jobs.51job.com/all/coAWJcOVE3BzxTMwVgB2A.html
807,SDN高级研发工程师,字节跳动,3750.0,北京,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/128817083.html?s=sou_sou_soulb&t=0_0&req=5cbd948ef6a49a51aa3f7523b959705a,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
808,C++开发工程师,上海秋晟资产管理有限公司,2600.0,上海·静安区,3-4年,本科,民营,少于50人,金融/投资/证券,https://jobs.51job.com/shanghai/148331732.html?s=sou_sou_soulb&t=0_0&req=9c2b4e0f17c4fb957e7396a02b5db4d0,https://jobs.51job.com/all/coBWdTP1M2BDwDYQZmVjs.html
809,总行科技研发中心-开发工程师岗（广州）,中国光大银行总行,11598.0,广州,2年,本科,国企,10000人以上,,https://jobs.51job.com/guangzhou/147579269.html?s=sou_sou_soulb&t=0_0&req=69cb073d4fbfc0c8d4fdd8bcfdd232e3,https://jobs.51job.com/all/coVDAHY1E6Bj9SNQ1nUzY.html
810,用户产品行业通用方向server负责人-生活服务,字节跳动,8000.0,上海,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shanghai/147637233.html?s=sou_sou_soulb&t=0_0&req=12e5d0fcad04af2a8e9b351099a9a79e,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
811,Senior Staff Engineer Application Engineering - 34,英飞凌科技（中国）有限公司,4500.0,上海·浦东新区,5-7年,本科,外资（欧美）,150-500人,,https://jobs.51job.com/shanghai/138353657.html?s=sou_sou_soulb&t=0_0&req=2ec112d07ed808f36fd7ebe676f96d39,https://jobs.51job.com/all/coB2NSNgBjBzkHY1Qz.html
812,资深后端开发工程师-LBA People Talent,字节跳动,10500.0,成都,5-7年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/chengdu/147163927.html?s=sou_sou_soulb&t=0_0&req=a79f527bc599788a4b3d64da752932ec,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
813,稳定性测试开发专家-国际化短视频-上海,字节跳动,4500.0,上海,5-7年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shanghai/138642977.html?s=sou_sou_soulb&t=0_0&req=3a6eabbc535ee458d9fd49a1398295bd,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
814,LINUX系统开发工程师,牙木科技股份有限公司,9000.0,上海,3-4年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/142433770.html?s=sou_sou_soulb&t=0_0&req=d7c57a9cd60326b75adc84f9f3854a74,https://jobs.51job.com/all/coUjYHYlc2U2hUNAFqUDI.html
815,DevOps运维工程师,北京伯凯科技有限公司,16000.0,北京·朝阳区,3-4年,本科,外资（欧美）,10000人以上,计算机服务(系统、数据服务、维修),https://jobs.51job.com/beijing/148080889.html?s=sou_sou_soulb&t=0_0&req=52224e999cf3ca8496c9482cc16cff90,https://jobs.51job.com/all/coVTdSMVEyVWMGa1A2Vjs.html
816,后端开发工程师-抖音/今日头条/西瓜视频,字节跳动,3750.0,北京,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/120258038.html?s=sou_sou_soulb&t=0_0&req=75a812689c3ded2bd381945aca09052d,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
