,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
4149,C/C++软件工程师,深圳市世椿智能装备股份有限公司,8750.0,深圳·宝安区,1年,本科,民营,500-1000人,仪器仪表/工业自动化,https://jobs.51job.com/dongguan/148349985.html?s=sou_sou_soulb&t=0_0&req=3dbc9fec8c112fc4c85a51a960638aac,https://jobs.51job.com/all/coBGZSNV44DzMDYQFiUj4.html
4150,Linux C开发工程师,四川丹诺迪科技有限公司,14500.0,成都·高新区,3-4年,本科,民营,少于50人,互联网/电子商务,https://jobs.51job.com/chengdu/146203041.html?s=sou_sou_soulb&t=0_0&req=6f99a0c7a3c5f87d443da754a809f790,https://jobs.51job.com/all/coUzBQPVU2VmwCY1AxXDw.html
4151,经开区招C证司机,河南次晨达物流有限公司,5100.0,郑州·经开区,无需经验,,民营,,交通/运输/物流,https://jobs.51job.com/zhengzhou/148314688.html?s=sou_sou_soulb&t=0_0&req=ca861f67861d8c06232bbf1979061ebd,https://jobs.51job.com/all/coVTUFaVI3UW4AZ1c0VTg.html
4152,高薪招聘C照司机，急需5名,苏州远途货运代理有限公司,15000.0,苏州,无需经验,,外资（欧美）,,计算机软件,https://jobs.51job.com/suzhou/147842308.html?s=sou_sou_soulb&t=0_0&req=935bd04c168ade8c49ffb649161300a0,https://jobs.51job.com/all/coUTBcPwdjBzpUNAxpUzU.html
4153,C/C++软件工程师,深圳市世椿智能装备股份有限公司,8750.0,深圳·宝安区,1年,本科,民营,500-1000人,仪器仪表/工业自动化,https://jobs.51job.com/dongguan/148349985.html?s=sou_sou_soulb&t=0_0&req=595a785e4ad318ef8c5ec128b5f88e97,https://jobs.51job.com/all/coBGZSNV44DzMDYQFiUj4.html
4154,货运司机+C证+多劳多得,弘道（苏州）物流有限公司,10000.0,苏州·吴中区,无需经验,,民营,50-150人,汽车,https://jobs.51job.com/suzhou/145612645.html?s=sou_sou_soulb&t=0_0&req=5380d6688106a65de968d910fb800463,https://jobs.51job.com/all/coCGhQMQBrAD5WNARkVTU.html
4155,C汉阳急招贷后专员+季度晋升+月入10K+,律正投资管理（上海）有限公司武汉分公司,15000.0,武汉·汉阳区,1年,大专,民营,,计算机软件,https://jobs.51job.com/wuhan/144634369.html?s=sou_sou_soulb&t=0_0&req=7c77fce1a4918ab3b219f6a0ce3d08de,https://jobs.51job.com/all/coCWhUMVI2DzdSM1c1AG0.html
4156,招客运商务C证司机免费住宿,苏州微微行汽车服务有限公司,12500.0,上海·闵行区,1年,初中及以下,外资（欧美）,50-150人,计算机软件,https://jobs.51job.com/shanghai/140446612.html?s=sou_sou_soulb&t=0_0&req=f00d5a675ec57fba56c3b182d1726c25,https://jobs.51job.com/all/coBGUBZ1EzDjdTMwZhAGA.html
4157,月入过万货运司机c照,武汉长腾物流有限公司,17500.0,武汉·汉阳区,1年,,民营,少于50人,,https://jobs.51job.com/wuhan/139190155.html?s=sou_sou_soulb&t=0_0&req=96576da7cb8ad54857f25b695923d5b8,https://jobs.51job.com/all/coUzJdOQNmVmtSNgxpXD4.html
4158,销售总监（To C）,杭州双纯环境技术有限公司,5000.0,杭州·滨江区,8-9年,大专,民营,50-150人,多元化业务集团公司,https://jobs.51job.com/hangzhou/142780419.html?s=sou_sou_soulb&t=0_0&req=d008cf37961ea20ac5904719caac5f0a,https://jobs.51job.com/all/coBWBVOARnBDwAYgJoBWQ.html
