职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
Python初高级开发工程师,江苏钜芯集成电路技术股份有限公司,8千-1.5万,深圳·宝安区,2年,本科,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/146423378.html?s=sou_sou_soulb&t=0_0&req=74a3a61619b071eb8ee98168d039294d,https://jobs.51job.com/all/coVDVTNlM2BD8Ha1M0UTQ.html
Python开发工程师,友邦资讯科技（广州）有限公司,2-2.5万,广州,5-7年,本科,外资（非欧美）,1000-5000人,保险,https://jobs.51job.com/guangzhou/131265798.html?s=sou_sou_soulb&t=0_0&req=74a3a61619b071eb8ee98168d039294d,https://jobs.51job.com/all/coBGddOlE7Azg.html
Python,京北方信息技术股份有限公司广州分公司,1.5-2万,广州,5-7年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/guangzhou/147741520.html?s=sou_sou_soulb&t=0_0&req=74a3a61619b071eb8ee98168d039294d,https://jobs.51job.com/all/coAmZXNFc9BzoAbFQzUTU.html
Python开发工程师,中讯志远（武汉）科技有限公司,1-1.5万,上海·徐汇区,3-4年,大专,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/shanghai/118888036.html?s=sou_sou_soulb&t=0_0&req=36dbf2c57e3f5ba80c1b11ddc8289738,https://jobs.51job.com/all/coVDFQMlY1AToCYwVnVDg.html
Python,深圳创维光伏科技有限公司,1-1.8万·14薪,北京·朝阳区,2年,本科,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/beijing/147627451.html?s=sou_sou_soulb&t=0_0&req=74a3a61619b071eb8ee98168d039294d,https://jobs.51job.com/all/coCGgHYVQxU20FaAxoUTw.html
Python开发,海南爱问众创科技有限公司,1.5-2.5万,深圳·南山区,3-4年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shenzhen/146834322.html?s=sou_sou_soulb&t=0_0&req=36dbf2c57e3f5ba80c1b11ddc8289738,https://jobs.51job.com/all/coB2YBZVQ2BzAFaQRjUjA.html
Python开发工程师,上海阅维科技股份有限公司,1-1.5万,上海·静安区,2年,本科,民营,150-500人,通信/电信/网络设备,https://jobs.51job.com/shanghai/136930251.html?s=sou_sou_soulb&t=0_0&req=ba3aff786b79278cdc88982cf8cf55c9,https://jobs.51job.com/all/coVTECblU3UW0CYwZtVjE.html
python应用开发工程师,深圳市智胜益辉科技有限公司,9千-1.2万,深圳·龙岗区,1年,本科,民营,,采掘业/冶炼,https://jobs.51job.com/shenzhen/142517781.html?s=sou_sou_soulb&t=0_0&req=ba3aff786b79278cdc88982cf8cf55c9,https://jobs.51job.com/all/coBGRTPwdjAj8OalE6VTY.html
Python,深圳市长亮科技股份有限公司,1.1-1.8万,深圳·福田区,3-4年,大专,已上市,5000-10000人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/guangzhou/147991200.html?s=sou_sou_soulb&t=0_0&req=4af593485d10d607367a5b54ff610f0e,https://jobs.51job.com/all/coAWVTPgdkU28BY1A1.html
Python初级开发工程师,深圳市易达恒通供应链管理有限公司,6-8千,深圳·福田区,2年,大专,民营,50-150人,交通/运输/物流,https://jobs.51job.com/shenzhen/129405054.html?s=sou_sou_soulb&t=0_0&req=ba3aff786b79278cdc88982cf8cf55c9,https://jobs.51job.com/all/coUjZQMQdnAj4BYgJkAW0.html
C++语言python java编程培训老师教师,美知睿学,500元/天,上海·长宁区,2年,大专,民营,50-150人,学术/科研,https://jobs.51job.com/shanghai/134774621.html?s=sou_sou_soulb&t=0_0&req=ba3aff786b79278cdc88982cf8cf55c9,https://jobs.51job.com/all/coBmEBbVUwVmwFY1M1VDQ.html
Python开发工程师,拙思信息科技（上海）有限公司,1.3-1.9万,上海·长宁区,3-4年,大专,民营,50-150人,计算机软件,https://jobs.51job.com/shanghai/148125302.html?s=sou_sou_soulb&t=0_0&req=c0132a70937ebe9429bc5cc2c499aaf8,https://jobs.51job.com/all/coB2VRMAVkU28GYgVgVDg.html
python开发工程师,上海环世物流（集团）有限公司,1.8-2.5万,上海·杨浦区,2年,本科,民营,1000-5000人,交通/运输/物流,https://jobs.51job.com/shanghai/137531976.html?s=sou_sou_soulb&t=0_0&req=c0132a70937ebe9429bc5cc2c499aaf8,https://jobs.51job.com/all/coA21WNQdtU2gBZQNj.html
Python数据分析师,深圳乙人信息科技有限公司,1-2万,深圳·龙岗区,3-4年,大专,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shenzhen/147521200.html?s=sou_sou_soulb&t=0_0&req=c0132a70937ebe9429bc5cc2c499aaf8,https://jobs.51job.com/all/coBWVSPwBhVmkDYFQwVTI.html
Python开发工程师,广州外宝电子商务有限公司,8千-1万,广州·荔湾区,2年,大专,民营,500-1000人,互联网/电子商务,https://jobs.51job.com/guangzhou/113649350.html?s=sou_sou_soulb&t=0_0&req=c0132a70937ebe9429bc5cc2c499aaf8,https://jobs.51job.com/all/coB2VQNANoBz4EYFQ-VTM.html
Python后端工程师,上海方略门口教育科技有限公司,1-2万,上海·浦东新区,2年,本科,民营,50-150人,教育/培训/院校,https://jobs.51job.com/shanghai/146347305.html?s=sou_sou_soulb&t=0_0&req=c054b467203e31fee361482b128649fe,https://jobs.51job.com/all/coAWBWMFQ1VG9UOA1rB2A.html
电商Python数据分析 五险一金,深圳市九行星科技有限公司,8千-1.3万,深圳·龙岗区,2年,本科,民营,500-1000人,贸易/进出口,https://jobs.51job.com/shenzhen/148335340.html?s=sou_sou_soulb&t=0_0&req=c054b467203e31fee361482b128649fe,https://jobs.51job.com/all/coVjZdO1M3VmAPYw1vAWc.html
Python Developer,乐鑫信息科技（上海）股份有限公司,2-3.5万·13薪,上海·浦东新区,3-4年,本科,已上市,500-1000人,计算机软件,https://jobs.51job.com/shanghai/147505146.html?s=sou_sou_soulb&t=0_0&req=74a3a61619b071eb8ee98168d039294d,https://jobs.51job.com/all/coA2FdPVE0DzZTMQZgUjI.html
Python后端工程师+五险一金,广州艺凡商务服务有限公司,2-4万,北京·大兴区,3-4年,本科,民营,少于50人,,https://jobs.51job.com/beijing/143808461.html?s=sou_sou_soulb&t=0_0&req=c0132a70937ebe9429bc5cc2c499aaf8,https://jobs.51job.com/all/coA2IFYFM0UWdVMQFrAmU.html
Python开发工程师,点奇互联（北京）科技有限公司,8千-1.5万,北京·海淀区,1年,大专,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/handan/140831604.html?s=sou_sou_soulb&t=0_0&req=36dbf2c57e3f5ba80c1b11ddc8289738,https://jobs.51job.com/all/coUTBSNFI0AjxUMFA7AmA.html
Python开发工程师,成都国铁电气设备有限公司,7千-1.2万·14薪,成都·双流区,3-4年,本科,民营,150-500人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/chengdu/130770570.html?s=sou_sou_soulb&t=0_0&req=4af593485d10d607367a5b54ff610f0e,https://jobs.51job.com/all/coVjJUOVQ0ADhVNFAxXDE.html
Python算法工程师（后端开发）,上海琻瑢信息科技有限公司,1-2万,上海·闵行区,1年,本科,民营,少于50人,金融/投资/证券,https://jobs.51job.com/shanghai/129251065.html?s=sou_sou_soulb&t=0_0&req=4af593485d10d607367a5b54ff610f0e,https://jobs.51job.com/all/coVTddOwdhVGpWMFAwXT4.html
Python开发工程师（行情）,上海财联社金融科技有限公司,1.5-2.5万,上海,5-7年,本科,国企,150-500人,影视/媒体/艺术/文化传播,https://jobs.51job.com/shanghai/137621830.html?s=sou_sou_soulb&t=0_0&req=4af593485d10d607367a5b54ff610f0e,https://jobs.51job.com/all/coB2JRNgBqBzlUNlc8AGU.html
Python,深圳市长亮科技股份有限公司,1.1-1.8万,深圳·福田区,3-4年,大专,已上市,5000-10000人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shenzhen/147991199.html?s=sou_sou_soulb&t=0_0&req=4af593485d10d607367a5b54ff610f0e,https://jobs.51job.com/all/coAWVTPgdkU28BY1A1.html
Python开发工程师,亚创（上海）工程技术有限公司,1.5-2万·13薪,上海·长宁区,5-7年,本科,外资（欧美）,10000人以上,汽车,http://altran.51job.com/#/join/detail?jobid=146295933,http://altran.51job.com/
Python算法工程师（金融方向）,上海琻瑢信息科技有限公司,1-1.8万,上海·闵行区,1年,本科,民营,少于50人,金融/投资/证券,https://jobs.51job.com/shanghai/129251200.html?s=sou_sou_soulb&t=0_0&req=4af593485d10d607367a5b54ff610f0e,https://jobs.51job.com/all/coVTddOwdhVGpWMFAwXT4.html
Python物联网安全研发工程师,中国科学院信息工程研究所,8千-1万,北京·海淀区,无需经验,本科,事业单位,1000-5000人,政府/公共事业,https://jobs.51job.com/tianjin/144425178.html?s=sou_sou_soulb&t=0_0&req=b61431ec9d94e219d3de208eac3099d4,https://jobs.51job.com/all/coUzFXM1YyVWhVMQZlXTw.html
Python Django/ Flask Web中级开发工程师,上海治吉信息科技有限公司,1.5-1.8万,上海·长宁区,3-4年,本科,民营,少于50人,,https://jobs.51job.com/shanghai/143512280.html?s=sou_sou_soulb&t=0_0&req=b61431ec9d94e219d3de208eac3099d4,https://jobs.51job.com/all/coUTFRM1A7VW1WNlM2AmI.html
开发经理/技术专家（python）,达而观信息科技（上海）有限公司,2-2.5万,上海·浦东新区,5-7年,本科,民营,500-1000人,计算机软件,https://jobs.51job.com/shanghai/114575566.html?s=sou_sou_soulb&t=0_0&req=b61431ec9d94e219d3de208eac3099d4,https://jobs.51job.com/all/coBGZWMwBgVGlVNw1sAWU.html
