职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
Java开发工程师,点奇互联（北京）科技有限公司,8千-1.5万,北京·海淀区,1年,大专,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/tianjin/140740833.html?s=sou_sou_soulb&t=0_0&req=eb41425f9e03079a43cd9dc5a274ef9d,https://jobs.51job.com/all/coUTBSNFI0AjxUMFA7AmA.html
中高级Java开发工程师14K+双休,佰聆数据股份有限公司北京分公司,1.2-1.8万,广州·黄埔区,3-4年,本科,民营,500-1000人,,https://jobs.51job.com/guangzhou/148498606.html?s=sou_sou_soulb&t=0_0&req=d39fd8721ef055c13e983c8bc620e3b6,https://jobs.51job.com/all/coBmVSMVUzAj4CZFY0AWI.html
Java开发工程师,西藏科玛奇信息科技股份有限公司,6-8千,成都·武侯区,1年,本科,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/chengdu/139291445.html?s=sou_sou_soulb&t=0_0&req=d39fd8721ef055c13e983c8bc620e3b6,https://jobs.51job.com/all/coUTIFYVQwVWwCYwNiUj4.html
Java高级开发工程师（开州）,深圳市维都利电子有限公司,1-2万,重庆·开州区,8-9年,本科,民营,1000-5000人,新能源,https://jobs.51job.com/shenzhen/148452567.html?s=sou_sou_soulb&t=0_1&req=d39fd8721ef055c13e983c8bc620e3b6,https://jobs.51job.com/all/coUzZTNVAwVGoDZQVhUTQ.html
Java中级程序员,上海届远信息技术有限公司,1-1.5万·14薪,上海·宝山区,2年,大专,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/42893522.html?s=sou_sou_soulb&t=0_0&req=d39fd8721ef055c13e983c8bc620e3b6,https://jobs.51job.com/all/coUzAAbF49BDhSNQJn.html
Java,光谷动力（北京）科技有限公司,8千-1.3万·13薪,北京·通州区,1年,大专,民营,,计算机软件,https://jobs.51job.com/beijing/148493343.html?s=sou_sou_soulb&t=0_0&req=d39fd8721ef055c13e983c8bc620e3b6,https://jobs.51job.com/all/coAWBTP1Q3DzkGY1EwUTI.html
高级java开发工程师,上海捷依通信科技有限公司,1.5-2.5万,上海·嘉定区,3-4年,大专,民营,50-150人,通信/电信运营、增值服务,https://jobs.51job.com/shanghai/124673051.html?s=sou_sou_soulb&t=0_0&req=ac3be13ae8bb4705cc20c868060d9bce,https://jobs.51job.com/all/coBGABYF49BTgHZlA2AmU.html
Java开发工程师（总部）-P1938C,上海网达软件股份有限公司,1.2-1.8万,上海·浦东新区,3-4年,本科,已上市,1000-5000人,互联网/电子商务,https://jobs.51job.com/shanghai/146094357.html?s=sou_sou_soulb&t=0_0&req=8e90a34c2452665243190af048d87258,https://jobs.51job.com/all/coBGBQNwNhBjAHYgBkVTY.html
JAVA开发岗（测试开发方向）(009203),中信银行信用卡中心,2.5-3.5万,深圳·福田区,3-4年,本科,国企,500-1000人,互联网/电子商务,https://jobs.51job.com/shenzhen/145133598.html?s=sou_sou_soulb&t=0_0&req=65ea9d0bd9cc4fdfbce8c64b5adf4886,https://jobs.51job.com/all/coA2BQMlYzATkFaQZt.html
Java开发工程师,内蒙古钛驰新迪商务有限公司,8千-1.5万·13薪,北京·朝阳区,1年,大专,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/baoding/141354396.html?s=sou_sou_soulb&t=0_0&req=2d5ac81270b2571750ee86cdf67903ce,https://jobs.51job.com/all/coVDVXMFIxVmAOaQZlBWU.html
Java开发（成都）,南京易联阳光信息技术股份有限公司,1.2-1.8万,成都,3-4年,本科,民营,500-1000人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/chengdu/147458415.html?s=sou_sou_soulb&t=0_0&req=00f49ff72095878fe5556366e86d07a1,https://jobs.51job.com/all/coB2UFYV8_VWxSP1YzUzE.html
Java开发工程师（金融）,创趋科技（上海）股份有限公司,1.3-2.5万,上海·虹口区,5-7年,大专,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/136071611.html?s=sou_sou_soulb&t=0_0&req=6973f5b0d39797de82fda2a22ad639c6,https://jobs.51job.com/all/coBGdUMAVgBDJWMVM3XTo.html
中级Java开发工程师,深圳市欣旺达综合能源服务有限公司,1.5-2万·14薪,深圳,3-4年,本科,民营,500-1000人,电气/电力/水利,https://jobs.51job.com/shenzhen/147840328.html?s=sou_sou_soulb&t=0_0&req=ac3be13ae8bb4705cc20c868060d9bce,https://jobs.51job.com/all/coAmBRPVYxVWMDYgNhB2U.html
高级Java开发工程师,广州美盈智能科技有限公司,1.5-2万·13薪,广州·天河区,5-7年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/guangzhou/148540474.html?s=sou_sou_soulb&t=0_0&req=ac3be13ae8bb4705cc20c868060d9bce,https://jobs.51job.com/all/coVTVRN1A3UWwHZQJhVDM.html
Java开发工程师（总部）-P1938C,上海网达软件股份有限公司,1.2-1.8万,上海·浦东新区,3-4年,本科,已上市,1000-5000人,互联网/电子商务,https://jobs.51job.com/shanghai/146094357.html?s=sou_sou_soulb&t=0_0&req=ac3be13ae8bb4705cc20c868060d9bce,https://jobs.51job.com/all/coBGBQNwNhBjAHYgBkVTY.html
Java开发工程师,北天英才（北京）科技有限公司,1-2万,北京·西城区,3-4年,本科,民营,少于50人,计算机软件,https://jobs.51job.com/beijing/139551634.html?s=sou_sou_soulb&t=0_0&req=ac3be13ae8bb4705cc20c868060d9bce,https://jobs.51job.com/all/coAWFUNQJgUWpRNwBmUzI.html
Java软件工程师,合力工业车辆（上海）有限公司,8.5千-1.7万,上海·杨浦区,2年,本科,国企,1000-5000人,,https://jobs.51job.com/shanghai/136561291.html?s=sou_sou_soulb&t=0_0&req=00f49ff72095878fe5556366e86d07a1,https://jobs.51job.com/all/coA2FXMAdsADYGY1E3XD8.html
JAVA开发/周末双休,深圳市睿服科技有限公司,1.4-1.8万,广州·天河区,3-4年,本科,民营,1000-5000人,计算机软件,https://jobs.51job.com/guangzhou/146170094.html?s=sou_sou_soulb&t=0_0&req=370066f442bf1cda20e649fa07a0620a,https://jobs.51job.com/all/coVjVdOwVmDzECYQJkXD4.html
Java开发工程师,海隆软件（昆山）有限公司,8千-1万·13薪,上海·徐汇区,2年,本科,已上市,500-1000人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/141567551.html?s=sou_sou_soulb&t=0_0&req=5b8978fc8ec0a6f453120a744aa65da8,https://jobs.51job.com/all/coAWRRNVc3BTwEYQxpAGc.html
Java开发工程师,智诚计算机辅助设计（深圳）有限公司,1-2万·13薪,深圳·罗湖区,2年,本科,外资（非欧美）,150-500人,计算机软件,https://jobs.51job.com/shenzhen/148460564.html?s=sou_sou_soulb&t=0_0&req=d39fd8721ef055c13e983c8bc620e3b6,https://jobs.51job.com/all/coB2hUNgVjBDhWN1M0.html
Java工程师,颐家（上海）医疗养老服务有限公司,1.5-2万,上海·长宁区,3-4年,本科,民营,1000-5000人,医疗/护理/卫生,https://jobs.51job.com/shanghai/134676994.html?s=sou_sou_soulb&t=0_0&req=d39fd8721ef055c13e983c8bc620e3b6,https://jobs.51job.com/all/coUTRcOQBrU28BbABjBWM.html
IT工程师技术员Java，PHP，c#等,湖北一片语科技有限公司,1.2-2.4万,武汉,1年,大专,民营,少于50人,,https://jobs.51job.com/guangzhou/108532244.html?s=sou_sou_soulb&t=0_1&req=229d7d705f1e75d75237515786c07b49,https://jobs.51job.com/all/coVTdQMVAzVWtTMAxmXTg.html
JAVA程序员（制造业）,上海迅筑信息科技有限公司,6千-1.2万,上海·黄浦区,1年,本科,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/68866644.html?s=sou_sou_soulb&t=0_0&req=73c13278560a9fdd12f5c099f34a4c61,https://jobs.51job.com/all/coA2ZdP1c3ATkGYAJkUT0.html
