,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
562,PHP开发工程师,广州中望龙腾软件股份有限公司北京分公司,17500.0,广州·天河区,3-4年,本科,民营,150-500人,,https://jobs.51job.com/guangzhou/147919209.html?s=sou_sou_soulb&t=0_0&req=b190d1af8d5cb4297de6cd67fa236d80,https://jobs.51job.com/all/coBWRWN1U3AThUNVE1B2s.html
563,采购开发,丽鑫生技化妆品（上海）有限公司,6500.0,上海·松江区,1年,大专,合资,500-1000人,快速消费品(食品、饮料、化妆品),https://jobs.51job.com/shanghai/88681144.html?s=sou_sou_soulb&t=0_0&req=81d09482f081a6e5d3a0c53a6a7ac0f6,https://jobs.51job.com/all/coUTVRPVA0BjsBZwRlBmY.html
564,Magento&HPH工程师,太古资源（上海）商贸有限公司,2550.0,广州,3-4年,本科,外资（非欧美）,150-500人,批发/零售,https://jobs.51job.com/shenzhen/147034750.html?s=sou_sou_soulb&t=0_0&req=c53e3fe109a103d73a5a15c9308242ab,https://jobs.51job.com/all/coBGMCZ184Aj8EYFM0.html
565,测试工程师,广州点服网络科技有限公司,6500.0,广州·天河区,2年,大专,民营,少于50人,互联网/电子商务,https://jobs.51job.com/guangzhou/92874737.html?s=sou_sou_soulb&t=0_0&req=5e08727d55c688cb8fe11aa4060371f2,https://jobs.51job.com/all/coCGpXMQRjAzsOagZkVjQ.html
566,后端技术负责人-抖音支付,字节跳动,11500.0,深圳,8-9年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shenzhen/139179584.html?s=sou_sou_soulb&t=0_0&req=7e1c18406c57e6e02bff6aac45d49426,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
567,PHP开发工程师,广州传思信息科技有限公司,11500.0,广州·海珠区,1年,大专,外资（非欧美）,50-150人,互联网/电子商务,https://jobs.51job.com/guangzhou/127284018.html?s=sou_sou_soulb&t=0_0&req=aa68cba110e0673895a590b149db310f,https://jobs.51job.com/all/coAGVWNVc9U2hRM1M2UTM.html
568,信息管理员（长兴岛）,上海海鸿福船物业管理有限公司,9000.0,上海·崇明区,3-4年,大专,民营,1000-5000人,物业管理/商业中心,https://jobs.51job.com/shanghai/147074076.html?s=sou_sou_soulb&t=0_0&req=878b036e8a82d2465719ef56fb22a6ee,https://jobs.51job.com/all/coUjYCZwdmUWlWNlYzAGw.html
569,Lead Application Support Analyst,伊顿（中国）投资有限公司(EATON),3100.0,上海,5-7年,本科,外资（欧美）,10000人以上,多元化业务集团公司,https://jobs.51job.com/shanghai/147254243.html?s=sou_sou_soulb&t=0_0&req=aaf219a28e32fc68615c5383fd2c69b0,https://jobs.51job.com/all/coUTYBbF40Um0FZwZsXT0.html
570,抖音直播服务端核心研发工程师-基础架构,字节跳动,3750.0,深圳,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shenzhen/129813963.html?s=sou_sou_soulb&t=0_0&req=1006545ed1b7f68d75caa7cee4a82e2b,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
571,资深后台研发工程师--国际化广告,字节跳动,4500.0,深圳,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shenzhen/122938277.html?s=sou_sou_soulb&t=0_0&req=90b6b006b9452a2ada845d67fa592d8f,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
572,计算机软件开发工程师,上海富安物流有限公司,5250.0,武汉·新洲区,1年,本科,民营,150-500人,交通/运输/物流,https://jobs.51job.com/shanghai/139706396.html?s=sou_sou_soulb&t=0_1&req=6bb9004842efee2e1722636f23dcb542,https://jobs.51job.com/all/coVjMGZlUyAzoHZlMxAmE.html
